Account Name,Website,Country/Region,City,LinkedIn URL,Lead Source,Lead Rating,Status,Topic,Description,Industry,Segment,Owner,Next Step,Notes
DEUTZ Defense Systems,https://www.deutz.com/,Allemagne,COLOGNE,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DEVISMES SAS,https://www.devismes.fr/,France,FEUQUIÈRES EN VIMEU,https://www.linkedin.com/company/11175337,Eurosatory 2026 Catalog,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Dès le début du XXe siècle , c’est au coeur du Vimeu, le pays de la serrure, que la société, Poumarèdes et Martinet est créée par l’arrière-grand-père de Philippe DEVISMES actuel PDG de DEVISMES SAS . En 1999, les deux sociétés fusionnent p…",Intelligence / ISR,Homeland security; Ballistic protection,,Review website and validate opportunity,
D-Fend Solutions,http://d-fendsolutions.com/,Royaume-Uni,LONDON,https://www.linkedin.com/company/d-fend-solutions/,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","D-Fend Solutions is the leading provider of field-proven, RF cyber-driven, non-kinetic, non-disruptive, AI-enhanced counter-drone takeover technology for se...",Intelligence / ISR,Land defense; Air defense,,Contact sales team and qualify need,
DGA/DICE/SDGQ/BUREAU DES SALONS,http://www.defense.gouv.fr/,France,PARIS CEDEX 15,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Diadrom Systems AB,,Suède,Gothenburg,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DIAGER INDUSTRIE,https://www.diager-industrie.com/,France,Poligny,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Diamond Aircraft,https://www.diamondaircraft.com/,Autriche,WIENER NEUSTADT,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DIATEX SA,https://www.diatex.com/,France,ST GENIS LAVAL,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Diehl Defence,http://www.diehl.com/defence,Allemagne,UEBERLINGEN,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DIGIGRAM,https://www.digigram.com/,France,Montbonnot-Saint-Martin,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DIGITAL BIT SRL,https://www.digitalbit.ro/,Roumanie,BUCHAREST,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Digital Core Technologies Pvt Ltd,http://www.dicortech.com/,Inde,KAKKANAD,https://www.linkedin.com/company/digital-core-technologies-pvt-ltd,Eurosatory 2026 Catalog,B,New,"Threat intel, hardware appliances, cloud souverain, audits.",Digital Core Technologies (DCT) designs and builds mission-critical electronics for defense and security applications. Our product line includes Trimer LWIR...,Cybersecurity,Naval defense; Optics / optronics,,Review website and validate opportunity,
Digital Defence Ecosystem,http://www.digitaldefence.fi/,Finlande,TAMPERE,https://www.linkedin.com/company/86868558,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"The Digital Defence Ecosystem is a link between three worlds: defence, innovations, and finance. Our members co-innovate and collaborate to enable agile prod...",Other,,,No immediate action,
"DIGITAL RESEARCH AND CONSULTING CO.,LTD",http://www.drc.co.th/,Thaïlande,BANGKOK,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Dillinger Saarstahl,http://www.dillinger.de/,Allemagne,DILLINGEN,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
"DILLON AERO, INC.",http://dillonaero.com/,États-Unis,POMPANO BEACH,https://dillonaeroinc.com,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Dillon Aero, founded in 1989, is a global leader in advanced weaponry, renowned for the M134D Minigun, delivering 3,000 rounds per minute with unmatched reli...",Intelligence / ISR,Land defense; Naval defense,,Contact sales team and qualify need,
DIRECT,http://www.direct.fr/,France,SAINT-ETIENNE DU ROUVRAY,https://linkedin.com/compagnydirectdistribution,Eurosatory 2026 Catalog,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","DIRECT specializes in providing technical support to clients, particularly in the sale of specific products: CEM, connectors, wiring equipment, wires and cab...",Radar / sensors,Naval defense; C4ISR,,Review website and validate opportunity,
Direct Action,https://eu.directactiongear.com/,Pologne,Wrocław,https://www.linkedin.com/company/entire-m-sp-z-o-o/,Eurosatory 2026 Catalog,C,New,Canal de distribution / représentation pour notre portefeuille.,"Be the first to know our new products and never miss our special offers. Whether you need a lightweight plate carrier, a rugged chest rig, or a flexible modular belt system, you’ll find mission-ready solutions focused on ergonomics, mobilit…",Soldier systems,,,Keep in watchlist,
Directorate-General for Defence Industry and Space,https://ec.europa.eu/info/departments/defence-industry-and-space_en,Belgique,BRUSSELS,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DISTANCE,https://distance.tech/,Finlande,HELSINKI,,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","In defence and aerospace, Distance acts as the front-end for sensor fusion, bringing hyper-spectral, thermal and battlefield data into a cohesive 3D visual layer embedded into vehicle windshields, helmets and next-generation situational awa…",Intelligence / ISR,Land defense; Naval defense,,Contact sales team and qualify need,
DIVISA PRECISION,http://www.divisa.ch/,Suisse,CAROUGE - GENÈVE,https://ch.linkedin.com/company/divisa-precision,Eurosatory 2026 Catalog,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",The company was founded in 1961 to supply high-precision parts and assemblies for the watchmaking and instrumentation industries. With two factories in Genev...,Radar / sensors,Ammunition; Logistics / MRO,,Review website and validate opportunity,
DIXI MICROTECHNIQUES,http://www.diximicrotechniques.com/,France,CHAUDEFONTAINE,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
"DK UNITY, SIA",,Lettonie,RIGA,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DMG MORI,https://dmgmori.com/,Allemagne,BIELEFELD,https://www.linkedin.com/company/dmgmori/,Eurosatory 2026 Catalog,C,New,Activité à qualifier — discovery call avant pitch précis.,"Des vidéos de production fascinantes et des présentations passionnantes. .cls-1 { fill: #fff; } .cls-2 { fill: rgba(255, 255, 255, .2); } Recommandation Bienvenue chez DMG MORI Events LA PLATEFORME POUR TOUS LES ÉVÈNEMENTS DMG MORI! LA PLAT…",Other,,,Keep in watchlist,
DOK-ING,https://www.dok-ing.hr/,Croatie,GRAD ZAGREB,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DOLL Fahrzeugbau GmbH,http://www.doll-defence.com/de/,Allemagne,OPPENAU,https://de.linkedin.com/company/doll-fahrzeugbau,Eurosatory 2026 Catalog,C,New,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, Vehicles.","DOLL Fahrzeugbau GmbH specializes in the manufacturing of military and security vehicles, providing high-quality solutions for defense and law enforcement. O...",Homeland security,,,Keep in watchlist,
DOMO TACTICAL COMMUNICATIONS LTD (DTC),http://www.domotactical.com/,Royaume-Uni,ampshire,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DOODLE LABS LLC,https://doodlelabs.com/,États-Unis,MARINA DEL RAY,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DP WORLD,http://www.dpworld.com/,Pays-Bas,Hoofddorp,https://www.linkedin.com/company/dp-world/posts/?feedView=all,Eurosatory 2026 Catalog,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","DP World brings customer-centric solutions to industrial and commodities businesses, overcoming supply chain limitations to allow for round-the-clock product...",Armored vehicles,Naval defense; Logistics / MRO,,Review website and validate opportunity,
Dr. Bohrer Lasertec GmbH,,Autriche,Neusiedl am See,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DR. WERNER RÖHRS GMBH & CO.KG,http://www.roehrs.de/,Allemagne,SONTHOFEN,,Eurosatory 2026 Catalog,C,New,Vend des sous-systèmes / composants à un OEM construisant leur build line.,Dr. Werner Röhrs GmbH & Co. KG is the most known european producer of high-end recoil-springs for hand-gun or auto-cannons. Our focus is the development and ...,Other,,,Keep in watchlist,
DRÄGER FRANCE SAS,http://www.draeger.com/,France,ANTONY CEDEX,https://www.linkedin.com/company/draeger,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,Dräger is an international leader in the fields of medical and safety technology. The family-run company was founded in Lübeck (Germany) in 1889. The compa...,Other,,,No immediate action,
Dragon Winch,http://www.dragonwinch.com/fr/,Pologne,BALICE,https://www.linkedin.com/company/dragon-winch,Eurosatory 2026 Catalog,B,New,"Pièces de rechange, calibration, certification pour acteurs MRO.","Dragon Winch is the only European manufacturer offering such a comprehensive range of winches and recovery systems dedicated to the military, fire services, ...",Logistics / MRO,,,Review website and validate opportunity,
DREHTAINER GmbH,http://www.drehtainer.com/,Allemagne,VALLUHN,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,DREHTAINER GmbH provides innovative military and security solutions tailored to the specific needs of defense and security professionals. Our products are de...,Other,,,No immediate action,
DRIVE SYSTEM DESIGN,https://www.drivesystemdesign.com/,États-Unis,FARMINGTON HILLS,,Eurosatory 2026 Catalog,A,New,"Outils SOC/SIEM, brique de sécurité défensive pour vendeur cyber.","News and Insights News and Insights Drive System Design strengthens its position as a trusted defense propulsion partner through CMMC Level 2 certification Global propulsion system engineering partner, Drive System Design (DSD), has achieve…",Cybersecurity,Air defense; Naval defense,,Contact sales team and qualify need,
DRONE VOLT,https://www.dronevolt.com/,France,VILLEPINTE,,Eurosatory 2026 Catalog,A,New,"Composants, sous-systèmes, software, services pour primes C4ISR.",DRONE VOLT is an international leader in the field of professional civilian drones and embedded artificial intelligence. See More See Less Video We are proud to announce the signing of a major contract between DRONE VOLT and Phoenix Tower I…,C4ISR,Land defense; Air defense,,Contact sales team and qualify need,
DRONE XTR,https://dronextr.fr/,France,LE HAVRE,,Eurosatory 2026 Catalog,C,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",To enrich,Intelligence / ISR,UAV / drones; Counter-UAV,,Keep in watchlist,
DroneShield,https://www.droneshield.com/,Australie,SYDNEY,www.linkedin.com/company/droneshield,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",The global leader in AI-powered CUxS. DroneShield delivers counter-drone solutions for every mission with customer-first design and advanced threat detection.,Intelligence / ISR,Air defense; Naval defense,,Contact sales team and qualify need,
Dronivo GmbH,https://www.dronivo.com/,Allemagne,LUDWIGSHAFEN,https://www.linkedin.com/company/dronivo/posts/?feedView=all,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Dropla Tech,,Danemark,Aarhus C,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DROUIN SAS,http://www.drouin.fr/,France,MÉZIÈRES-SUR-PONTHOUIN,https://www.linkedin.com/company/71478338/admin/page-posts/published/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"DROUIN SAS offers a wide range of plywood crates, including traditional and collapsible models, with or without palletisation. If you cannot find a standard ...",Other,,,No immediate action,
DRV Solutions,https://www.drv-solutions.com/,Belgique,DEINZE,https://www.linkedin.com/company/drvsolutions,Eurosatory 2026 Catalog,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",To enrich,UAV / drones,Logistics / MRO; Engineering services,,Review website and validate opportunity,
DSG CANUSA GmbH,,Allemagne,RHEINBACH,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Dspnor AS,,Norvège,Laksevåg,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DSS,http://www.dss-cz.com/,République tchèque,PRAGUE,,Eurosatory 2026 Catalog,B,New,"Sous-systèmes, composites, certification pour primes terrestres.",DSS is a renowned Czech manufacturer specializing in small arms and boasts a long tradition and expertise in the defence industry. Our offer includes light m...,Land defense,Armored vehicles; Weapons,,Review website and validate opportunity,
DSV,http://dsv-solutions.fr/,France,Aix-en-Provence,https://www.linkedin.com/company/dsv-developpement-strategies-ventes/?viewAsMember=true,Eurosatory 2026 Catalog,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",DSV is a French SME that captures the best European technologies to put them at the service of French forces. It offers armies and security forces ITAR-free ...,Intelligence / ISR,Air defense; Naval defense,,Review website and validate opportunity,
DSV Air & Sea,,France,GENNEVILLIERS,https://www.linkedin.com/company/dsv/about/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DUCHENE INDUSTRIES,https://www.duchene-industries.fr/,France,RUY-MONTCEAU,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DUNARIT,http://www.dunarit.com/,Bulgarie,RUSE,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
DURABOOK,http://www.durabook.com/,Taïwan,TAIPEI,https://www.linkedin.com/company/DURABOOK/,Eurosatory 2026 Catalog,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","DURABOOK is the core brand of Twinhead International Corporation. In 2000, Twinhead manufactured its first military-grade rugged laptop and launched the DURA...",UAV / drones,Naval defense; Homeland security,,Contact sales team and qualify need,
DURKOPP,http://www.durkopp.group/,France,VIERZON,,Eurosatory 2026 Catalog,A,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","A specialist in bearings, delivering agile, innovative, and tailor-made solutions that meet the highest standards. DURKOPP is your partner for high-precision...",Armored vehicles,Simulation / training; Logistics / MRO,,Contact sales team and qualify need,
Đuro Đakovic Specijalna vozila,https://duro-dakovic.com/,Croatie,SLAVONSKI BROD,,Eurosatory 2026 Catalog,D,New,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,"Proizvodnja oklopnih borbenih vozila, strojeva za humanitarno razminiranje i vagona za posebne namjene. Bavi se razvojem, projektiranjem, inženjeringom i održavanjem prijenosnika snage. Tvrtka Đuro Đaković Energetika i infrastruktura d.o.o.…",Other,,,No immediate action,
Dürr AG,http://www.durr-group.com/,Allemagne,BIETIGHEIM-BISSINGEN,,Eurosatory 2026 Catalog,B,New,"GPUs, cloud, data annotation, hardening cyber pour plateforme IA.","The Dürr Group is a trusted partner of the defence industry, leveraging decades of expertise from automotive, aircraft, and general industries. Our proven tr...",AI / data,Logistics / MRO,,Review website and validate opportunity,
Dürr Systems AG,https://www.durr.com/,Allemagne,Bietigheim-Bissingen,,Eurosatory 2026 Catalog,A,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Read more REFRAMED: the new online magazine of Dürr Systems AG Find out more Read more EcoBell4 Rotary atomizer From green to red to yellow to blue. Cookies in this category additionally ensure that the website complies with the applicable …,Space / satellite,Cybersecurity; Armored vehicles,,Contact sales team and qualify need,
DWC LLC,https://www.startupblink.com/,Émirats arabes unis,DUBAI,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. Cloudflare Ray ID: 9f347cbf38d4c799 • Your IP: Click to reveal 213.41.12.82 • Performance & secur…,Other,,,No immediate action,
Dynamit Nobel Defence,http://www.dn-defence.com/,Allemagne,BURBACH,https://www.linkedin.com/company/dynamit-nobel-defence-gmbh,Eurosatory 2026 Catalog,A,New,"Sous-systèmes, composites, certification pour primes terrestres.",Dynamit Nobel Defence GmbH (DND) is a mid-sized systems provider within the defense industry. The company employs more than 600 highly qualified personnel. D...,Land defense,C4ISR; Armored vehicles,,Contact sales team and qualify need,
Dynasafe US LLC,https://dynasafe.com/,États-Unis,TALLADEGA,,Eurosatory 2026 Catalog,A,New,"Vend des sous-systèmes / composants à un OEM construisant Ammunition, Weapons.","Our explosive containment chambers are flexible in terms of sizes, protection levels, implementations, and options, enabling us to provide multiple product versions for each specific market segment. Bomb Disposal Public Safety Transportatio…",Weapons,Homeland security; Ammunition,,Contact sales team and qualify need,
Dyneema®,http://www.dyneema.com/,États-Unis,STANLEY,,Eurosatory 2026 Catalog,B,New,"Textiles, composites, optronique, énergie pour kits soldat.","Dyneema®, the world’s strongest fiber™, is a premium brand of ultra-high-molecular-weight polyethylene (UHMWPE). We’ve been driving material science innovati...",Soldier systems,Naval defense; Homeland security,,Review website and validate opportunity,
e.tricks,,France,Brassac Les Mines,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
E.X LOGISTIQUE,http://e-x-logistique.com/,France,CONNANTRAY-VAUREFROY,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
East Gear (International) Corp Limited,http://www.eastgear-int.com/,Hong-Kong,HONG KONG,,Eurosatory 2026 Catalog,B,New,Canal de distribution / représentation pour notre portefeuille.,East Gear (International) Corp Limited (E-Gear) is a leading Hong Kong based tactical and rescue products design company. We were established by homeland sec...,Soldier systems,Land defense; Homeland security,,Review website and validate opportunity,
EBERSPÄCHER CLIMATE CONTROL SYSTEMS INTERNATIONAL GMBH,http://www.eberspaecher.com/,Allemagne,ESSLINGEN,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
E-boost Gmbh,https://e-boost.com/,Allemagne,WALDKIRCH,,Eurosatory 2026 Catalog,D,New,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, Engines / propulsion.","{ ""@context"": ""https://schema.org/"", ""@type"": ""Product"", ""name"": ""E-Boost Street EV Bike"", ""image"": ""https://e-boost.com/cdn/shop/files/Gross_WhiteGlatt_4_1024x1024.jpg?v=1706868213"", ""description"": ""Das E-Boost Street EV Bike ist die ideal…",Other,,,No immediate action,
EBOS technologies ltd,https://www.ebosrnd.eu/,Cyprus,NICOSIA,https://www.linkedin.com/company/ebos-technologies-ltd,Eurosatory 2026 Catalog,A,New,"Threat intel, hardware appliances, cloud souverain, audits.",Consortium ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS (CERTH-HIT) EBOS TECHNOLOGIES LTD (EBOS) EVIDEN TECHNOLOGIES SRL (EVIDEN) EREVNITIKO PANEPISTIMIAKO INSTITOUTO SYSTIMATON EPIKOINONION KAI YPOLOGISTON (ICCS) INCITES CONSULTING S…,Cybersecurity,Air defense; Naval defense,,Contact sales team and qualify need,
E-BUSINESS VENTURE,https://ebv.fr/,France,SAINT MAUR DES FOSSES,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Echodyne,http://www.echodyne.com/,États-Unis,KIRKLAND,https://www.linkedin.com/company/echodyne/posts/?feedView=all,Eurosatory 2026 Catalog,C,New,Vend des sous-systèmes / composants à un OEM construisant Radars.,Echodyne is a U.S. supplier of advanced commercial radar solutions for defense and national security applications. The company’s metamaterials electronically...,Radar / sensors,,,Keep in watchlist,
ECLIPTIC DEFENCE AND SPACE,https://www.ecliptic-ds.com/,Cyprus,NICOSIA,,Eurosatory 2026 Catalog,A,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","CERTIFICATION OUR TEAM With a deep focus on RF and Microwave technologies, Ecliptic Defence and Space proudly serves as your reliable partner in the development of defence and space components, subsystems, and systems. At Ecliptic Defence a…",Electronic warfare,Naval defense; Homeland security,,Contact sales team and qualify need,
eCon Trading Ltd.,https://econengineering.com/en/,Hongrie,Budapest,,Eurosatory 2026 Catalog,A,New,"Radars, sonars, comms, armement, sustainment pour primes navals.","In-person Conference Budapest May 07 07 May 2026 9:00 am – 3:00 pm Econ Szimpulzus 2026 – EM The second session of the Econ Szimpulzus engineering simulation series, centered on electromagnetic simulations. In-person Conference Budapest 0 i…",Naval defense,Optics / optronics; Radar / sensors,,Contact sales team and qualify need,
ECONOMAT DES ARMEES,https://economat-armees.com/,France,PANTIN CEDEX,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
ECOSUN INNOVATIONS,https://www.ecosuninnovations.com/,France,WETTOLSHEIM,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
ECOTEST GROUP,http://ecotestgroup.com/,Ukraine,LVIV,https://www.linkedin.com/company/10967767,Eurosatory 2026 Catalog,B,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Software / Platforms.",ECOTEST GROUP is a developer and manufacturer of innovative radiation measurement instruments and comprehensive systems designed to solve nuclear measurement...,NRBC / CBRN,Homeland security,,Review website and validate opportunity,
ECRIN SYSTEMS,http://www.ecrin.com/,France,CROLLES,https://www.linkedin.com/company/ecrin-systems/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
ED PUBLISHING,https://www.edrmagazine.eu/,France,PARIS,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Edeis ingénierie,http://www.edeis.com/expertises/ingenierie/,France,NANTES CEDEX 3,https://www.linkedin.com/company/edeis/,Eurosatory 2026 Catalog,C,New,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,"Edeis Engineering designs and builds buildings and infrastructure for defense and security actors. From study to commissioning, we accompany our clients at e...",Logistics / MRO,Naval defense; Homeland security,,Keep in watchlist,
EDePro d.o.o,http://www.edepro.com/,Serbie,BELGRADE,,Eurosatory 2026 Catalog,B,New,"Composites, capteurs, comms, lancement pour primes spatiaux.","EDePro is a global powerhouse in propulsion and defense technologies, delivering cutting-edge rocket systems, UAVs, turbojet engines, and artillery solutions...",Space / satellite,Land defense; UAV / drones,,Review website and validate opportunity,
EDGE GROUP,https://edgegroupuae.com/,Émirats arabes unis,ABU DHABI,https://www.linkedin.com/company/edgegroup/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. Sorry, you have been blocked You are unable to access edgegroupuae.com Why have I been blocked?",Other,,,No immediate action,
EDH,https://edh.fr/,France,MESANGER,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
EDI-USA,https://execdefense.com/,États-Unis,PHILADELPHIA,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
EES CLEMESSY,https://www.clemessy.com/,France,SAINT JEAN DE LA RUELLE,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
EES-CLEMESSY,https://www.clemessy.com/,France,ARRAS CEDEX 9,https://www.linkedin.com/company/eiffageenergiesystemes/,Eurosatory 2026 Catalog,B,New,"Vend des sous-systèmes / composants à un OEM construisant Robotics / UGV, Logistics equipment.","Recrudescence de tentatives d'usurpation de l'identité d'Eiffage et de ses filiales (utilisation de fausses adresses e-mail, sites web frauduleux, etc.). Présentation Implantations Recrutement Nos compétences Multitechniques Concepteur de s…",C4ISR,Naval defense; Optics / optronics,,Review website and validate opportunity,
efa France,https://efa-controls.com/,France,FONDETTES,https://www.linkedin.com/company/efa-france/,Eurosatory 2026 Catalog,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Radar anti-collision Preco Fabricant de caméras et radars intelligent de protection des angles morts , Preco Electronics (désormais Sensata) travaille avec efa France en tant que distributeur exclusif. Lorsque la question est posée de savoi…",Radar / sensors,Air defense; UAV / drones,,Review website and validate opportunity,
EFT GROUP Sp. z o.o.,https://eftgroup.pl/en/,Pologne,Widziszewo,,Eurosatory 2026 Catalog,C,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Logistics equipment.",MOUNTING KITS We offer various toolbox`s fixing systems depending on vehicle`s type and configuration. TOOLBOX MARKING OPTIONS We use several methods of marking the box with logos and inscriptions. One of them based on the patented graphic`…,Other,,,Keep in watchlist,
Ege Araç Teknolojileri A.Ş.,,Turquie,İzmir,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Ege Endüstri ve Ticaret A.Ş.,,Turquie,İzmir,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Ege Fren Sanayi A.Ş.,https://www.egefren.com.tr/,Turquie,İzmir,,Eurosatory 2026 Catalog,D,New,Vend des sous-systèmes / composants à un OEM construisant Engines / propulsion.,"GÜÇLÜ VE UZUN ÖMÜRLÜ AĞIR VASITA FREN SİSTEMLERİ Ege Fren, global ticari ve endüstriyel araç üreticilerine fren ve otomotiv komponentleri tedarikçisi olarak hizmet vermektedir. Tamamı İzmir’de yerleşik olan 2 adet fabrika, Ar-Ge merkezi ve …",Other,,,No immediate action,
EGIDE,https://www.egide-tech.com/,France,RIS-ORANGIS,https://www.linkedin.com/company/egide-tech/,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","LinkedIn Post Apr 3 EGIDE raises €8m seed round led by Expeditions, Eurazeo, and Heartcore Capital to develop next-generation defence arsenal EGIDE, a French defence technology startup building the next generation of affordable defence syst…",Intelligence / ISR,Air defense; Naval defense,,Contact sales team and qualify need,
EID,http://www.eid.pt/,Portugal,CHARNECA DA CAPARICA,https://www.linkedin.com/company/eid-sa,Eurosatory 2026 Catalog,A,New,"Composants, sous-systèmes, software, services pour primes C4ISR.","EID is a Portuguese company with more than 40 years of experience in the engineering of advanced electronic systems for defence and security. EID designs, de...",C4ISR,Land defense; Naval defense,,Contact sales team and qualify need,
EINSA,https://www.einsa.es/,Espagne,ALCALA DE HENARES MADRID,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
EIZO Rugged Solutions,http://www.eizorugged.com/,États-Unis,Orlando,https://www.linkedin.com/company/eizoruggedsolutions/,Eurosatory 2026 Catalog,B,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","View Product Supporting the Digital Transformation of C5ISR Mission Systems EIZO Rugged Solutions is a leading manufacturer of high-performance visual technology for C5ISR applications. EIZO Rugged Solutions combines advanced thermal, mecha…",Electronic warfare,Naval defense; Intelligence / ISR,,Review website and validate opportunity,
EKOSCAN,https://www.ekoscan-ndt.com/,France,SAINT REMY,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
