Company,Country,City,Website,LinkedIn,Eurosatory profile,Booth,Type,Defense segment,Secondary segments,Builds,Sells,Services,Technologies,Target clients,Markets,Target type,Buying need,Other buying needs,Score,Priority,Ideal seller,Pitch,Sales angle,Next action,Status,Tags,Lists,Confidence
AQLE,France,SAINT-JUST-EN-CHAUSSÉE,https://www.aqle.fr/,https://www.linkedin.com/company/aqle,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=b68e2631-5829-4617-8868-ad1bb046d949,Hall 5b / C43,Distributeur,Logistics / MRO,Export / distribution,Engines / propulsion,Sub-systems / Components; Distribution / agency; Certification / testing; Sub-contracting,Distribution / agency; Certification / testing; Sub-contracting,,Aerospace primes; Land forces,France,Distributeur potentiel,Mechanical parts,"Materials (high temperature alloys); Embedded systems; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",62.9,B,Canal de distribution / représentation pour notre portefeuille.,Hi — we're scouting an exclusive distributor for France.,MRO is rarely distributed — confirm scope before pitching.,Review website and validate opportunity,New,,,High
AQUA MANIA,France,MARCHEPRIME,https://www.top-star.fr/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=4b92a7e5-58bc-47c3-8fef-c6ebc18703c9,Hall 5b / A101,Bureau d'ingénierie,Soldier systems,Engineering services,Software / Platforms; Soldier equipment,Finished products; Engineering / consulting,Engineering / consulting,,Special forces; Civil security / fire,France,Fournisseur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Composite materials; Textile / industrial fabrics; Optronics / Optics; Energy / batteries; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",57.3,C,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed AQUA MANIA builds Software / Platforms, Soldier equipment for Soldier systems.","Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.",Keep in watchlist,New,,,Medium
AQUITAINE ELECTRONIQUE (AECEGROUP),France,Serres-Castet,https://www.aece-group.com/,http://www.linkedin.com/company/aquitaineelectronique,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=eae91911-2bb5-4c26-a597-cffed55abf48,Hall 5b / A101,Sous-traitant industriel,Naval defense,Intelligence / ISR; Radar / sensors; Logistics / MRO; Engineering services,Sensors; Engines / propulsion; Naval systems,Maintenance / MRO; Engineering / consulting; Sub-contracting; Certification / testing,Maintenance / MRO; Engineering / consulting; Sub-contracting; Certification / testing,RF / microwave,Aerospace primes,France,Fournisseur potentiel,Electronic components,"Embedded systems; Composite materials; Mechanical parts; Materials (high temperature alloys); Sensors; Communications networks; Engines / propulsion; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",62.9,B,"Radars, sonars, comms, armement, sustainment pour primes navals.","Hi — I noticed AQUITAINE ELECTRONIQUE (AECEGROUP) builds Sensors, Engines / propulsion (+1) for Naval defense.","Naval primes buy radars, sonars, comms, weapons and sustainment in long cycles.",Review website and validate opportunity,New,,,High
ARAGON HUB DEFENSE,Espagne,ZARAGOZA,http://www.aragonexterior.es/,https://www.linkedin.com/company/aragon-exterior/posts/?feedView=all,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=87e1e89e-d073-4b10-b883-d47c7aa84c53,Hall 4 / C55,OEM,Other,,Logistics equipment; Software / Platforms,Sub-systems / Components,,,,France; Germany; United Kingdom; Asia; India,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; Cloud / data services; Cybersecurity solutions; AI platforms; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",54.7,C,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, Software / Platforms.","Hi — ARAGON HUB DEFENSE ships Logistics equipment, Software / Platforms to defense customers.",Qualify the activity before pitching.,Keep in watchlist,New,,,Medium
ARAGON PHOTONICS LABS,Espagne,Zaragoza,https://www.aragonphotonics.com/,https://www.linkedin.com/company/aragon-photonics/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=90aec38d-e1ff-4a04-ad48-28cbaf80e654,Hall 4 / C55,OEM,Soldier systems,Naval defense; Optics / optronics; Radar / sensors; AI / data; Logistics / MRO,Sensors; Optronics / Optics; Communications networks; Naval systems; Vehicles; Energy / batteries; Engines / propulsion; Software / Platforms; Soldier equipment,Integration services; Sub-systems / Components,,Artificial intelligence; GNSS / GPS; Simulation,Critical infrastructure,NATO,Acheteur potentiel,Electronic components,"Embedded systems; Composite materials; Mechanical parts; RF / microwave components; Cybersecurity solutions; Sensors; Communications networks; Engines / propulsion; Ballistic protection; Optronics / Optics; Materials (Li-ion, electrolytes); Materials (high temperature alloys); Cloud / data services; AI platforms; Textile / industrial fabrics; Energy / batteries; Industrial subcontracting / machining",71.5,B,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed ARAGON PHOTONICS LABS builds Sensors, Optronics / Optics (+7) for Soldier systems.","Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.",Review website and validate opportunity,New,,,High
Arbit Cyber Defence Systems,Danemark,Hvidovre,http://arbitcds.com/,https://www.linkedin.com/company/3032697,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=78ba46d2-332d-4006-806f-64930915b051,Hall 6 / J146,OEM,C4ISR,Cybersecurity; Optics / optronics; Logistics / MRO; Dual-use technology,Optronics / Optics; Software / Platforms; Electronic components; Logistics equipment; Communications networks,Sub-systems / Components; Certification / testing,Certification / testing,,Intelligence agencies; Defense ministries; Critical infrastructure,Germany; NATO,Acheteur potentiel,Electronic components,"Composite materials; Mechanical parts; Cloud / data services; Cybersecurity solutions; AI platforms; Industrial subcontracting / machining; Materials; Communications networks; RF / microwave components; Embedded systems; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",77.6,A,"Composants, sous-systèmes, software, services pour primes C4ISR.","Hi — I noticed Arbit Cyber Defence Systems builds Optronics / Optics, Software / Platforms (+3) for C4ISR.",C4ISR primes integrate hundreds of components — the sourcing surface is huge. Procurement / supply chain is the entry point.,Contact sales team and qualify need,New,,,High
ArcelorMittal Commercial Sections S.A.,Luxembourg,Esch-sur-Alzette,https://www.arcelormittal.com/,,,Hall 5a / H190,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Arctus Technologies,Pays-Bas,SON EN BREUGEL,https://www.arctus.ai/,https://www.linkedin.com/company/arctus-technologies/posts,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=83e9f7f2-328f-4739-af7e-96c374c0f5d4,Hall 5b / DE424,OEM,UAV / drones,Radar / sensors; Logistics / MRO,UAV / drones; Logistics equipment; Engines / propulsion; Sensors; Robotics / UGV,Finished products; Sub-systems / Components,,Robotics / autonomy,,,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Mechanical parts; Materials; Materials (high temperature alloys); Electronic components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",67.0,B,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed Arctus Technologies builds UAV / drones, Logistics equipment (+3) for UAV / drones.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.",Review website and validate opportunity,New,,,High
Ares Shield AI,Pologne,WROCLAW,https://aresshield.ai/about-us/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=e38c48b1-f11e-48c6-82c4-b2cace0d572e,Hall 5b / C-455-,OEM,Intelligence / ISR,Naval defense; C4ISR; UAV / drones; Counter-UAV; Ammunition; Electronic warfare; Radar / sensors; AI / data; Engineering services; Dual-use technology; Space / satellite,UAV / drones; Sensors; Software / Platforms; AI platforms; Logistics equipment; Satellites / Space; Vehicles; Counter-UAV systems; Radars; Engines / propulsion; Communications networks; Ammunition,Sub-systems / Components; Integration services,,Artificial intelligence; Cloud; RF / microwave; Edge computing; Robotics / autonomy; Lidar / Laser,Critical infrastructure,NATO; United States,Acheteur potentiel,Energy / batteries,Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Electronic components; Cloud / data services; Cybersecurity solutions; AI platforms; Compute hardware (GPU); Annotation / data services; Mechanical parts; Materials; Launch services; Ballistic protection; Radars,76.0,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed Ares Shield AI builds UAV / drones, Sensors (+10) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map Ares Shield AI's integration partners.",Contact sales team and qualify need,New,,,High
ARESIA,France,VILLENEUVE LA GARENNE,http://www.aresia.com/,https://www.linkedin.com/company/aresia/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=5d64bf05-5fd1-4b28-9b44-3eafb42689be,Hall 4 / H161,Équipementier,UAV / drones,Land defense; Naval defense; Armored vehicles; Ammunition; Radar / sensors; Simulation / training; Logistics / MRO,Radars; UAV / drones; Mechanical parts; Vehicles; Embedded systems; Simulators / Training; Ammunition; Energy / batteries,Maintenance / MRO; Certification / testing; Finished products,Maintenance / MRO; Certification / testing,RF / microwave; GNSS / GPS; Lidar / Laser,Land forces; Civil security / fire; Defense ministries; Aerospace primes,France; Europe; United States; NATO,Acheteur potentiel,Electronic components,"Mechanical parts; Composite materials; Embedded systems; Energy / batteries; Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Raw materials (steel, aluminium); Industrial subcontracting / machining; Ballistic protection; Cybersecurity solutions; Software; AI platforms; Hardware (display, motion platforms); Energetic materials; Packaging",74.0,B,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed ARESIA builds Radars, UAV / drones (+6) for UAV / drones.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.",Review website and validate opportunity,New,,,High
Arge Robotik,Turquie,ÇEKMEKÖY,http://www.argerobotik.com/,https://www.linkedin.com/company/arge-robotik,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=0a47a8fb-19cc-4914-98bd-4714ba9665fb,Hall 5b / AB395,OEM,Ammunition,,Robotics / UGV; Software / Platforms; Ammunition; Communications networks,Sub-systems / Components,,Robotics / autonomy,,Germany; India,Acheteur potentiel,Electronic components,"Sensors; Energy / batteries; Engines / propulsion; Composite materials; Cloud / data services; Cybersecurity solutions; AI platforms; Energetic materials; Mechanical parts; Packaging; RF / microwave components; Embedded systems; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits",69.0,B,"Vend des sous-systèmes / composants à un OEM construisant Robotics / UGV, Software / Platforms.","Hi — Arge Robotik ships Robotics / UGV, Software / Platforms (+2) to defense customers.",Arge Robotik buys raw materials and machining — long lead times. Procurement is the buyer.,Review website and validate opportunity,New,,,High
Argus Interception,Allemagne,ROTENBURG/WÜMME,https://www.argus-interception.com/,https://www.linkedin.com/company/argus-interception/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=49c3bde4-0c3e-4f06-b9e1-34a613724ab9,Hall 5b / A264,OEM,Intelligence / ISR,Homeland security; UAV / drones; Counter-UAV; Radar / sensors,UAV / drones; Counter-UAV systems; Radars; Software / Platforms; Vehicles; Sensors,,,Lidar / Laser,Police / law enforcement; Defense ministries; Critical infrastructure,Germany,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Radars; RF / microwave; AI platforms; Electronic components; Mechanical parts; Cloud / data services; Cybersecurity solutions; Ballistic protection; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance",67.5,B,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed Argus Interception builds UAV / drones, Counter-UAV systems (+4) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map Argus Interception's integration partners.",Review website and validate opportunity,New,,,High
ARIA SEPROLEC GROUP,France,VIRE,http://www.aria-seprolec.fr/,https://www.linkedin.com/company/aria-seprolec/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=5c26de7b-5bd7-4183-805e-0d96fd109387,Hall 6 / DE245,Sous-traitant industriel,Logistics / MRO,Engineering services,Logistics equipment; Robotics / UGV,Integration services; Training; Sub-contracting; Certification / testing; Engineering / consulting,Training; Sub-contracting; Certification / testing; Engineering / consulting,RF / microwave; GNSS / GPS; Robotics / autonomy,Aerospace primes,France; Europe,Fournisseur potentiel,Mechanical parts,"Materials; Communications networks; Electronic components; Sensors; Energy / batteries; Engines / propulsion; Composite materials; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",67.4,B,"Pièces de rechange, calibration, certification pour acteurs MRO.","Hi — I noticed ARIA SEPROLEC GROUP builds Logistics equipment, Robotics / UGV for Logistics / MRO.","MRO providers source spare parts, calibration tools and certification services. Procurement is the buyer.",Review website and validate opportunity,New,,,High
ArianeGroup,France,LES MUREAUX,https://www.ariane.group/,https://www.linkedin.com/company/arianegroup/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=b719172e-ed59-4cee-827e-1aec20ba400c,Hall 5a / D149,OEM,Space / satellite,Naval defense; C4ISR; Armored vehicles; Optics / optronics; Radar / sensors; AI / data; Dual-use technology,Engines / propulsion; Satellites / Space; Optronics / Optics; Composite materials; Vehicles; Software / Platforms; Simulators / Training; Sensors; Communications networks; Energy / batteries; Naval systems,Sub-systems / Components; Integration services,,Composites; Artificial intelligence; Lidar / Laser; Robotics / autonomy; Cloud; RF / microwave,Aerospace primes; Defense ministries,Europe; United States; France; Germany,Acheteur potentiel,Mechanical parts,"Materials (high temperature alloys); Embedded systems; Composite materials; Sensors; Launch services; Electronic components; Raw materials (carbon fiber, resins); Curing equipment; Engines / propulsion; Communications networks; Ballistic protection; Optronics / Optics; Cloud / data services; Cybersecurity solutions; AI platforms; Software; Hardware (display, motion platforms)",77.0,A,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed ArianeGroup builds Engines / propulsion, Satellites / Space (+9) for Space / satellite.","Space primes source composites, sensors, comms and launch services.",Contact sales team and qualify need,New,,,High
Ark Robotics,Estonie,TALLINN,http://ark-robotics.com/,https://www.linkedin.com/company/arkrobotics,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=a61832ba-511c-45e3-99b5-41dc12bad4b3,Hall 4 / C135,OEM,Electronic warfare,Cybersecurity; Intelligence / ISR; C4ISR; UAV / drones; Ammunition; Optics / optronics; Communications; Radar / sensors; AI / data; Logistics / MRO; Engineering services; Dual-use technology,Vehicles; UAV / drones; Robotics / UGV; Communications networks; Sensors; Optronics / Optics; Software / Platforms; Tactical radios; Embedded systems; Electronic components; Ammunition; Energy / batteries; Mechanical parts; Engines / propulsion,Finished products; Sub-systems / Components; Integration services; Training,Training,Robotics / autonomy; Artificial intelligence; Computer vision; Edge computing; Cloud; 5G / wireless; RF / microwave; Lidar / Laser; Simulation,Defense ministries; Aerospace primes,Europe; Eastern Europe,Acheteur potentiel,Engines / propulsion,Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Electronic components; RF / microwave components; Cybersecurity solutions; Cloud / data services; AI platforms; RF / microwave; Industrial subcontracting / machining; Materials; Energetic materials,80.0,A,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed Ark Robotics builds Vehicles, UAV / drones (+12) for Electronic warfare.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.",Contact sales team and qualify need,New,,,High
ARMATAN,France,Sainte-Hélène-du-Lac,http://armatan.com/,https://www.linkedin.com/company/armatan-sas,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=4648363a-3ce5-4295-a4a8-383b7727607c,Hall 6 / F331,OEM,Radar / sensors,Logistics / MRO,Sensors; Engines / propulsion; Communications networks; Satellites / Space; Naval systems,Sub-systems / Components; Maintenance / MRO; Certification / testing,Maintenance / MRO; Certification / testing,Cloud; Simulation; Big data / analytics,,Europe; France,Acheteur potentiel,Electronic components,"Embedded systems; Composite materials; Mechanical parts; Materials (high temperature alloys); RF / microwave components; Cybersecurity solutions; Sensors; Launch services; Communications networks; Engines / propulsion; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",75.0,A,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed ARMATAN builds Sensors, Engines / propulsion (+3) for Radar / sensors.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.",Contact sales team and qualify need,New,,,High
ARMMO,Espagne,MADRID,https://www.armmo.es/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=cd6fc071-b20a-4732-9c7c-ad7ff89781e9,Hall 6 / J214,OEM,Intelligence / ISR,Naval defense; UAV / drones; Electronic warfare; Radar / sensors; Logistics / MRO,Vehicles; UAV / drones; Robotics / UGV; Logistics equipment; Sensors,Sub-systems / Components; Integration services,,GNSS / GPS; Robotics / autonomy,,Africa; NATO,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Electronic components; Materials; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",74.0,B,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ARMMO builds Vehicles, UAV / drones (+3) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map ARMMO's integration partners.",Review website and validate opportunity,New,,,High
ARMOUR PLATE PROCESSING,Royaume-Uni,ROTHERHAM,http://www.mtladv.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=ffe73c87-f4ac-45b5-be85-a982e2056724,Hall 5a / H272,OEM,Dual-use technology,,Vehicles,Sub-systems / Components,,,,,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",43.8,C,Vend des sous-systèmes / composants à un OEM construisant Vehicles.,Hi — ARMOUR PLATE PROCESSING ships Vehicles to defense customers.,ARMOUR PLATE PROCESSING adapts civil tech for defense — they need MIL-grade sub-suppliers.,Keep in watchlist,New,,,Medium
ARMOURED VEHICLES NIGAM LIMITED,Inde,Chennai,https://avnl.co.in/,https://www.linkedin.com/in/armoured-vehicles-nigam-limited-careers-page-88744337b/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=0e35b52c-b0fc-4d4a-bfbe-ece2a2260b7a,,OEM,Land defense,Air defense; Armored vehicles; Weapons; Ammunition,Vehicles; Engines / propulsion; Weapons; Ammunition,,,Lidar / Laser,Land forces; Defense ministries,India,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Materials (high temperature alloys); Embedded systems; Ammunition components; Energetic materials; Packaging; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",64.5,B,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Engines / propulsion.","Hi — ARMOURED VEHICLES NIGAM LIMITED ships Vehicles, Engines / propulsion (+2) to Land forces, Defense ministries.","ARMOURED VEHICLES NIGAM LIMITED sells to land forces — they need sub-systems, composites and certification.",Review website and validate opportunity,New,,,High
Armsto,Turquie,ANKARA,http://www.armsto.com.tr/,https://tr.linkedin.com/company/armsto,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=724cb46c-7f80-4541-9c4c-a4788c423a20,Hall 5b / D408,Distributeur,Export / distribution,,,Distribution / agency,Distribution / agency,,Aerospace primes,,Distributeur potentiel,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",35.6,D,Canal de distribution / représentation pour notre portefeuille.,Hi — we're scouting an exclusive distributor for your region.,Mutual distribution alignment — pitch a portfolio swap or co-marketing.,No immediate action,New,,,Medium
ARMTEK,France,STRASBOURG,https://armtek.fr/,https://www.linkedin.com/company/38084632/admin/feed/posts/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=7296a52d-3203-4920-b982-e4801af993c2,Hall 5a / H255,Distributeur,Cybersecurity,Radar / sensors; Logistics / MRO; Engineering services; Export / distribution,Software / Platforms; Communications networks; Robotics / UGV; Sensors,Finished products; Maintenance / MRO; Training; Sub-systems / Components; Distribution / agency; Certification / testing,Maintenance / MRO; Training; Distribution / agency; Certification / testing,Cryptography; GNSS / GPS; Robotics / autonomy,Aerospace primes,,Fournisseur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; RF / microwave components; Embedded systems; Electronic components; Sensors; Energy / batteries; Engines / propulsion; Composite materials; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",68.6,B,"Threat intel, hardware appliances, cloud souverain, audits.","Hi — I noticed ARMTEK builds Software / Platforms, Communications networks (+2) for Cybersecurity.","Cyber-defense vendors source threat intel feeds, hardware appliances, cloud and certification services. Procurement / CISO are entry points.",Review website and validate opportunity,New,,,High
ARMY RECOGNITION GROUP,Belgique,ANDENNE,http://www.armyrecognition.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=cb6b6a92-2281-4d64-8480-8abf4fac0bff,Hall 6 / H17,Distributeur,Electronic warfare,Land defense; Air defense; Naval defense; Homeland security; Intelligence / ISR; C4ISR; UAV / drones; Counter-UAV; Armored vehicles; Weapons; Ammunition; Radar / sensors; Logistics / MRO; Export / distribution; NRBC / CBRN,Vehicles; UAV / drones; Radars; Weapons; Robotics / UGV; Naval systems; NRBC / CBRN; Counter-UAV systems; Sensors; Software / Platforms; Ammunition; Communications networks; Engines / propulsion; Logistics equipment,Distribution / agency; Certification / testing; Maintenance / MRO; Training; Integration services,Distribution / agency; Certification / testing; Maintenance / MRO; Training,Robotics / autonomy; Simulation; RF / microwave; GNSS / GPS; Lidar / Laser,Land forces; Air forces; Navy; Police / law enforcement; Critical infrastructure; Aerospace primes; Special forces; Defense ministries,Europe; France; Germany; United Kingdom; United States; Asia; Middle East; NATO,Acheteur potentiel,Engines / propulsion,Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Electronic components; Ammunition components; Filtration materials; Personal protective equipment; Radars; RF / microwave; AI platforms; Cloud / data services; Cybersecurity solutions,81.0,A,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed ARMY RECOGNITION GROUP builds Vehicles, UAV / drones (+12) for Electronic warfare.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.",Contact sales team and qualify need,New,,,High
ARNOLD MAGNETIC TECHNOLOGIES,États-Unis,ROCHESTER,https://www.arnoldmagnetics.com/,https://www.linkedin.com/company/87842,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=0aa909ad-3d19-4ea4-8488-29ea9eb212d5,Hall 5a / D295,OEM,Space / satellite,Naval defense; UAV / drones; Soldier systems; Radar / sensors; Logistics / MRO; Export / distribution,Vehicles; UAV / drones; Sensors; Electronic components; Soldier equipment; Energy / batteries; Engines / propulsion; Satellites / Space; Naval systems; Logistics equipment; Mechanical parts; Software / Platforms; Composite materials,Finished products; Sub-systems / Components; Distribution / agency,Distribution / agency,Composites; RF / microwave,Aerospace primes,Asia; Europe; France; Germany; United Kingdom; United States; Africa; India,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Electronic components; Industrial subcontracting / machining; Materials; Textile / industrial fabrics; Materials (Li-ion, electrolytes); Materials (high temperature alloys); Launch services; Raw materials (steel, aluminium); Cloud / data services",83.0,A,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed ARNOLD MAGNETIC TECHNOLOGIES builds Vehicles, UAV / drones (+11) for Space / satellite.","Space primes source composites, sensors, comms and launch services.",Contact sales team and qualify need,New,,,High
ARQUIMEA,Espagne,Torrejón de Ardoz,https://www.arquimea.com/,https://www.linkedin.com/company/arquimea-group/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=fb281646-cf53-489b-95ab-04cf669b43b2,Hall 6 / H209,OEM,Space / satellite,C4ISR; UAV / drones; Weapons; Ammunition; Communications; Radar / sensors; Logistics / MRO,Tactical radios; Ammunition; Engines / propulsion; Communications networks; Satellites / Space; UAV / drones; Sensors; Electronic components; Weapons; Logistics equipment,Sub-systems / Components; Certification / testing; Integration services; Training; Cloud / data services; Finished products,Certification / testing; Training; Cloud / data services,RF / microwave; Lidar / Laser,Aerospace primes; Critical infrastructure,France; Germany; United Kingdom; United States; Africa; India; Europe; Asia,Acheteur potentiel,Electronic components,RF / microwave; Embedded systems; Cybersecurity solutions; Energetic materials; Mechanical parts; Packaging; Materials (high temperature alloys); RF / microwave components; Composite materials; Sensors; Launch services; Energy / batteries; Engines / propulsion; Optronics / Optics; Communications networks; Industrial subcontracting / machining; Materials,81.0,A,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed ARQUIMEA builds Tactical radios, Ammunition (+8) for Space / satellite.","Space primes source composites, sensors, comms and launch services.",Contact sales team and qualify need,New,,,High
ARQUUS,France,78000,http://www.arquus-defense.com/,https://www.linkedin.com/company/arquus-defense,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=a2683d0e-14a0-4af5-9828-1e0b8424b722,Hall 5a / D78,OEM,Electronic warfare,Land defense; Homeland security; Intelligence / ISR; C4ISR; UAV / drones; Counter-UAV; Armored vehicles; Weapons; Ammunition; Radar / sensors; Logistics / MRO; Engineering services; Export / distribution; NRBC / CBRN,Vehicles; Robotics / UGV; Engines / propulsion; Weapons; NRBC / CBRN; Sensors; Counter-UAV systems; UAV / drones; Ammunition; Communications networks,Sub-systems / Components; Integration services; Operational support; Certification / testing,Operational support; Certification / testing,Robotics / autonomy; GNSS / GPS,Land forces; Special forces; Police / law enforcement; Defense ministries,France; NATO; Middle East; Europe; Germany; India,Acheteur potentiel,Engines / propulsion,Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Electronic components; Energy / batteries; Materials (high temperature alloys); Embedded systems; Ammunition components; Filtration materials; Personal protective equipment; Radars; RF / microwave; AI platforms; Energetic materials,83.0,A,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed ARQUUS builds Vehicles, Robotics / UGV (+8) for Electronic warfare.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.",Contact sales team and qualify need,New,,,High
