Name,Website,BillingCountry,BillingCity,LinkedIn__c,Industry,Type,Lead_Score__c,Lead_Rating__c,Status,Description,Next_Step__c,Buying_Need_Main__c,Lead_Source__c
EINSA,https://www.einsa.es/,Espagne,ALCALA DE HENARES MADRID,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EIZO Rugged Solutions,http://www.eizorugged.com/,États-Unis,Orlando,https://www.linkedin.com/company/eizoruggedsolutions/,Electronic warfare,OEM,68.0,B,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Review website and validate opportunity,Electronic components,Eurosatory 2026 Catalog
EKOSCAN,https://www.ekoscan-ndt.com/,France,SAINT REMY,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Eksma Optics,http://www.eksmaoptics.com/,Lituanie,VILNIUS,https://www.linkedin.com/company/eksma-optics/,Soldier systems,OEM,68.0,B,New,"Textiles, composites, optronique, énergie pour kits soldat.",Review website and validate opportunity,Electronic components,Eurosatory 2026 Catalog
ELAUL,https://www.elaul.fr/,France,MONTAUBAN,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Elbe Holding,http://www.elbe-group.de/en/,Allemagne,BIETIGHEIM-BISSINGEN,,Space / satellite,OEM,72.5,B,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
Elbit Systems,http://www.elbitsystems.com/,Israël,HAIFA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Elbit Systems Sweden AB,http://elbitsystems.se/,Suède,Gothenburg,https://www.linkedin.com/company/elbit-systems-sweden-ab/,Intelligence / ISR,OEM,69.0,B,New,"Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics, Tactical radios.",Review website and validate opportunity,Electronic components,Eurosatory 2026 Catalog
"ELDIS PARDUBICE, S.R.O.",http://www.eldis.cz/,République tchèque,PARDUBICE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Electro Optic Systems,https://www.eos-aus.com/,Australie,CANBERRA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ELECTROPOLI SA,http://www.electropoli.com/,France,ISIGNY LE BUAT,https://www.linkedin.com/company/groupe-electropoli-sa/,Ammunition,Sous-traitant industriel,65.5,B,New,"Matériaux énergétiques, mécanique, packaging, certification.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
Electro-therm,https://www.electrotherm.fr/,France,BRON,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Elektroda Zagreb d.o.o.,https://ezg.hr/,Croatie,Zaprešić,,Naval defense,Distributeur,62.5,B,New,Canal de distribution / représentation pour notre portefeuille.,Review website and validate opportunity,Sensors,Eurosatory 2026 Catalog
ELETTRONICA SPA,https://www.eltgroup.net/,Italie,ROMA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
"ELFYS, INC.",http://www.elfys.fi/,Finlande,ESPOO,https://www.linkedin.com/company/elfys,Intelligence / ISR,OEM,77.4,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Electronic components,Eurosatory 2026 Catalog
ELGIE - Actemium Roanne Connectique,https://www.actemium.fr/implantations/actemium-roanne-connectique/presentation/,France,ROANNE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ELIKA TEAM,https://elikateam.com/,France,BIARRITZ,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Elistair,http://www.elistair.com/,France,DARDILLY,https://www.linkedin.com/company/3720597/admin/dashboard/,Intelligence / ISR,OEM,73.5,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
Elmo Motion Control,https://www.elmomc.com/,Israël,PETACH TIKVA,https://www.linkedin.com/company/elmomotioncontrol/,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
ELMON SA,https://www.elmon.com/,Grèce,ATHENS PEANIA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ELNO,https://www.elno.fr/,France,ARGENTEUIL,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ELYNXO,http://www.elynxo.fr/,France,LES ULIS,https://www.linkedin.com/company/10376980/,Industrial subcontracting,Sous-traitant industriel,62.5,B,New,"Matières premières, outils coupants, services qualité pour sous-traitants.",Review website and validate opportunity,"Raw materials (steel, aluminium)",Eurosatory 2026 Catalog
EM&E,https://www.eme-es.com/,Espagne,ALCALÁ DE HENARES,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Emaan International Company,,Arabie saoudite,Riyadh,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EMAG,http://www.emag.com/,Allemagne,SALACH,https://www.linkedin.com/company/emaggroup,Armored vehicles,Distributeur,80.0,A,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
Embedl,http://www.embedl.com/,Suède,Göteborg,https://www.linkedin.com/company/embedl/,Intelligence / ISR,Distributeur,77.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Cloud / data services,Eurosatory 2026 Catalog
EMBERION LTD,http://www.emberion.com/,Royaume-Uni,CAMBRIDGE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EMBRAER,http://embraer.com/defense-security-overview/en/,Brésil,SÃO JOSÉ DOS CAMPOS,,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
EMD,http://www.emd-pro.com/,France,LANESTER,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Emergent Swarm Solutions,https://emergentswarms.com/,Pays-Bas,DELFT,,UAV / drones,OEM,61.0,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
Emiliana Serbatoi,http://www.emilianaserbatoi.com/,Italie,CAMPOGALLIANO,https://www.linkedin.com/company/11005217,Cybersecurity,OEM,67.5,B,New,"Outils SOC/SIEM, brique de sécurité défensive pour vendeur cyber.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
Emirates Cable Corporation Interconnect (ECCI),https://ecci.ae/,Émirats arabes unis,Abu Dhabi,,Logistics / MRO,À vérifier,26.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
EMITECH,http://www.emitech.fr/,France,MONTIGNY LE BRETONNEUX,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EMJ Metāls SIA,http://www.emjmetals.lv/,Lettonie,Ķekavas novads,https://www.linkedin.com/company/emj-metals-sia/,Other,Sous-traitant industriel,40.7,C,New,Activité à qualifier — discovery call avant pitch précis.,Keep in watchlist,Mechanical parts,Eurosatory 2026 Catalog
Empact ApS,,Danemark,København NV,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EMPL,https://www.empl.at/,Autriche,KALTENBACH IM ZILLERTAL,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EMS Concept,https://www.ems-concept.com/,France,SAVERNE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EMTECH,https://www.emtechinc.net/,États-Unis,Sterling Heights,,Naval defense,OEM,68.0,B,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Software / Platforms.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
ENAG,https://www.enag.fr/,France,QUIMPER,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ENCORP LTD,https://encorp.eu/,Cyprus,NICOSIA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Energetics Technology ltd,https://www.energetics-technology.com/,Royaume-Uni,"Ashbourne, Derbyshire",,Other,OEM,43.4,C,New,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Logistics equipment.",Keep in watchlist,Cloud / data services,Eurosatory 2026 Catalog
ENERGIE METAL,https://www.energie-metal.fr/,France,LE COTEAU,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Engineering Conception Maintenance,https://www.ecm-crit.com/,France,Paris,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Enidine,https://www.enidine.com/,États-Unis,Orchard Park,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Ensign-Bickford Aerospace & Defense,http://www.ebad.com/,États-Unis,SIMSBURY,https://www.linkedin.com/company/ensign-bickford-aerospace-&-defense-company/,Other,À vérifier,27.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
ENSTROM HELICOPTER CORPORATION,http://www.enstromhelicopter.com/,États-Unis,MENOMINEE,,Space / satellite,OEM,70.0,B,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
Entremonde Polycoaters Limited,http://www.entremonde.com/,Inde,NASHIK,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EO SECURITY s.r.o.,https://www.eo-security.com/,République tchèque,Brno,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EODH SA,http://www.eodh-protection.com/,Grèce,THESSALONIKI,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EOS GmbH,http://www.eos.info/,Allemagne,Krailing,,UAV / drones,OEM,78.0,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
EOS TECHNOLOGIE,https://www.eos-technologie.com/,France,VARCES-ALLIÈRE-ET-RISSET,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EOST,https://www.eosystem.com/,Corée du Sud,SEOUL,https://www.linkedin.com/company/96136565/admin/feed/posts/,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
EPCI,,France,ENNERY,https://www.linkedin.com/in/epci-engineering/,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Epec Oy,http://www.epec.fi/,Finlande,Seinäjoki,https://www.linkedin.com/company/epec/,Simulation / training,OEM,71.5,B,New,"Visuel, motion, haptique, IA pour fabricants de simulateurs.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
Ephyca,https://www.ephyca.com/,Belgique,LIEGE,https://www.linkedin.com/company/ephyca/,UAV / drones,Bureau d'ingénierie,75.0,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Contact sales team and qualify need,Electronic components,Eurosatory 2026 Catalog
EPSI,http://epsi-radars.fr/,France,BEAUZELLE,https://www.linkedin.com/company/epsi-itni,Radar / sensors,Distributeur,67.5,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
EPSILON,http://www.epsilon-tolerie.fr/,France,MAULEVRIER,https://fr.linkedin.com/company/epsilon-tolerie,Naval defense,Sous-traitant industriel,58.7,C,New,"Radars, sonars, comms, armement, sustainment pour primes navals.",Keep in watchlist,Electronic components,Eurosatory 2026 Catalog
Epsilor-Electric Fuel Ltd,http://www.epsilor.com/,Israël,BET SHEMESH,,UAV / drones,Distributeur,75.0,A,New,Sub-system / payload pour OEM drones tactiques.,Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
EQUANS,http://equans.fr/,France,VELIZY VILLACOUBLAY,https://www.linkedin.com/company/equans-france/posts/?feedView=all,Electronic warfare,Distributeur,74.0,B,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Review website and validate opportunity,"Materials (Li-ion, electrolytes)",Eurosatory 2026 Catalog
EQUIMODAL,http://www.equimodal.com/,Espagne,Zaragoza,https://www.linkedin.com/company/equimodal/?originalSubdomain=es,Logistics / MRO,OEM,65.3,B,New,"Pièces de rechange, calibration, certification pour acteurs MRO.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
"EQUIPOS MOVILES DE CAMPANA ARPA, S.A.U.",https://www.arpaemc.com/,Espagne,LA MUELA(ZARAGOZA),,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ERA A.S.,http://www.era.aero/,République tchèque,PARDUBICE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ERARD INDUSTRIE,https://www.erard-industrie.com/,France,CHAVANOZ,,Other,À vérifier,2.0,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ERASER,https://eraser.lv/,Lettonie,RIGA,,Other,OEM,38.4,D,New,Activité à qualifier — discovery call avant pitch précis.,No immediate action,Mechanical parts,Eurosatory 2026 Catalog
Ericsson,,Suède,Kista,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ERLA TECHNOLOGIES S.A.S.,http://erla.fr/,France,SAINT MAURICE SUR MOSELLE,https://www.linkedin.com/company/erlatechnologies/,Intelligence / ISR,Bureau d'ingénierie,60.7,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Review website and validate opportunity,Electronic components,Eurosatory 2026 Catalog
ERM Fab&Test,http://www.erm-fabtest.com/,France,CARPENTRAS,https://www.linkedin.com/company/erm-fab-test,Other,À vérifier,15.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
Esh-tech Systems,https://www.esh-tech.com/,Israël,OMER,https://www.linkedin.com/company/esh-tech-systems/?viewAsMember=true,Other,À vérifier,17.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
ESSETI PRINTED CIRCUIT BOARD,http://www.circuiti-stampati.com/,Italie,ARGELATO,https://www.linkedin.com/in/esseti-circuiti-stampati-74b37678/,Space / satellite,Sous-traitant industriel,61.1,B,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Review website and validate opportunity,Cloud / data services,Eurosatory 2026 Catalog
ESSONNE SECURITE SIDES ARMORIC HOLDING,http://www.essonnesecurite.fr/,France,TREMEUR,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Estonian Defence and Aerospace Industry Association,,Estonie,Tallinn,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ETENDARD,http://etendard.tech/,France,VAULX-EN-VELIN,https://www.linkedin.com/company/etendard-tech/posts/?feedView=all,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Eternum Ltd.,https://www.eternum.com/en,Hongrie,Budapest,,Logistics / MRO,OEM,54.4,C,New,Vend des sous-systèmes / composants à un OEM construisant Communications networks.,Keep in watchlist,RF / microwave components,Eurosatory 2026 Catalog
ETHEREAL MACHINES,http://etherealmachines.com/,Inde,BENGALURU,https://www.linkedin.com/company/etherealmachines/,Intelligence / ISR,OEM,71.5,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
Etienne Lacroix Logistics,https://www.etienne-lacroix-logistics.com/,France,Muret,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
"ETL Co., Ltd. (Stealth Technology)",https://www.etlst.com/,Corée du Sud,GYEONGSANGNAM-DO,,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
ETRI (ROSENBERG VENDOME),http://www.etrinet.com/,France,VENDOME,https://www.linkedin.com/company/ecofit-etri/,Radar / sensors,OEM,61.6,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Review website and validate opportunity,Electronic components,Eurosatory 2026 Catalog
ETRONIKA,http://www.etronika.pl/start-en/,Pologne,WARSZAWA,https://www.linkedin.com/company/etronika-pl,UAV / drones,OEM,73.5,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Electronic components,Eurosatory 2026 Catalog
ETS GABRIEL ET CIE,https://www.gabriel-lyon.fr/,France,TREVOUX CEDEX,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EUCLIDE INDUSTRIE,http://www.euclide.pro/,France,PARIS,https://www.linkedin.com/company/euclideindustrie,Space / satellite,OEM,64.5,B,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
EURENCO S.A.S.,http://www.eurenco.com/,France,SORGUES,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
"EURO SECURITY PRODUCTS, S.R.O.",http://www.esp-products.com/,République tchèque,Bast,https://linkedin.com/in/ondrejmuzika,Weapons,OEM,62.5,B,New,"Usinage de précision, matériaux, optronique, composants munitions ITAR-friendly.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
EUROATLAS GmbH,https://www.euroatlas.com/,Allemagne,BREMEN,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EURO-COMPOSITES® S.à r.l.,http://www.euro-composites.com/,Luxembourg,ECHTERNACH,https://www.linkedin.com/company/euro-composites/,Naval defense,OEM,76.5,A,New,"Radars, sonars, comms, armement, sustainment pour primes navals.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
EUROHEATER AS,http://euroheater.no/,Norvège,HAGAN,https://www.linkedin.com/company/euroheater-as/?viewAsMember=true,Homeland security,OEM,57.4,C,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Energy / batteries.",Keep in watchlist,Engines / propulsion,Eurosatory 2026 Catalog
EUROPEAN DEFENCE AGENCY,,Grèce,,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EUROPEAN DEFENSE ECONOMIC NETWORKS,http://www.edencluster.com/,France,ECCULY,https://www.linkedin.com/in/eden-cluster/,Intelligence / ISR,Sous-traitant industriel,70.0,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
EUROPLAST-NYCAST,http://www.europlast-nycast.de/,Allemagne,VELBERT,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EUROPROTECT FRANCE SA,http://www.europrotect.fr/,France,LYON CEDEX 09,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EUROSAM,http://www.eurosam.com/,France,LE PLESSIS ROBINSON,https://fr.linkedin.com/company/eurosam-gie,Naval defense,Intégrateur,72.4,B,New,"Radars, sonars, comms, armement, sustainment pour primes navals.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
EUROSATCOM & VSATECH Associé,http://eurosatcom.eu/,France,LES ULIS,https://www.linkedin.com/company/25766007/admin/dashboard/,Space / satellite,OEM,76.5,A,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Contact sales team and qualify need,Electronic components,Eurosatory 2026 Catalog
EUROSPIKE GMBH,https://www.eurospike.com/,Allemagne,RÖTHENBACH,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EUROTECH INTERNATIONAL,https://www.eurotech-intl.com/,France,ST GERMAIN EN LAYE CEDEX,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EuroTrophy GmbH,http://www.euro-trophy.de/,Allemagne,FRANKFURT AM MAIN,https://www.linkedin.com/company/eurotrophy/,Other,À vérifier,20.1,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
Evertz,https://www.evertz.com/,Canada,L7L 5Z9,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Eviden,http://eviden.com/,France,BEZONS CEDEX,https://www.linkedin.com/company/eviden/posts,Naval defense,OEM,80.0,A,New,"Radars, sonars, comms, armement, sustainment pour primes navals.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
EVPÚ a.s.,https://www.evpu.sk/,Slovaquie,NOVA DUBNICA,www.linkedin.com/company/94793184,UAV / drones,OEM,60.5,B,New,Sub-system / payload pour OEM drones tactiques.,Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
EVPU DEFENCE A. S.,http://www.evpudefence.com/,République tchèque,UHERSKE HRADISTE,https://www.linkedin.com/company/18689469/,Intelligence / ISR,OEM,71.0,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
EXAIL,https://www.exail.com/,France,ST GERMAIN EN LAYE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EXAVISION SAS,http://exavision.com/,France,MILHAUD,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EXCALIBUR ARMY,https://www.excaliburarmy.cz/,République tchèque,PRAHA,,Intelligence / ISR,OEM,78.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
EXCALIBUR INTERNATIONAL A.S.,http://www.excaliburinternational.cz/,République tchèque,PRAHA 8,https://www.linkedin.com/company/excalibur-international/,Intelligence / ISR,Distributeur,81.5,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
EXENS GROUP,http://www.exens-solutions.com/,France,Les Ulis,https://www.linkedin.com/company/99523318,Space / satellite,Distributeur,77.0,A,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Contact sales team and qualify need,Electronic components,Eurosatory 2026 Catalog
EXONICUS R&D,,Lettonie,VALMIERA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
EXOSENS,http://www.exosens.com/,France,MERIGNAC,https://fr.linkedin.com/company/exosens-group,Intelligence / ISR,OEM,80.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
EXPLEO FRANCE,https://expleo.com/,France,MONTIGNY-LE-BRETONNEUX,,Space / satellite,OEM,78.5,A,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
EXPLORER CASES BY GT LINE GROUP,http://www.explorercases.com/,Italie,BOLOGNA,https://www.linkedin.com/company/gt-line-srl/,UAV / drones,OEM,75.0,A,New,Sub-system / payload pour OEM drones tactiques.,Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
EXPLOSIA A.S.,https://www.explosia.cz/,République tchèque,PARDUBICE,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Extron,http://www.extron.com/,Pays-Bas,AMERSFOORT,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
FA Krosno S.A.,https://www.fakrosno.pl/,Pologne,WARSAW,,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
FACTEM,https://www.factem.com/,France,BAYEUX,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Factor Ingeniería y Decoletaje S.L.,http://factorsl.es/en/solutions/defence,Espagne,PUÇOL,https://www.linkedin.com/company/factor-ingenieria-y-decoletaje,Cybersecurity,Distributeur,69.0,B,New,"Threat intel, hardware appliances, cloud souverain, audits.",Review website and validate opportunity,Energetic materials,Eurosatory 2026 Catalog
FACTORY SYSTEMES,,France,Bailly Romainvilliers,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
FAE,http://demining.fae-group.com/,Italie,FONDO (TN),,Radar / sensors,OEM,78.0,A,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
Fairsight Vision,,Ukraine,Lviv,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Falck-Schmidt Corp,https://www.falck-schmidt.systems/,Danemark,ODENSE S,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
FALCOM,http://falcom.gn.com/,Danemark,BALLERUP,,Soldier systems,OEM,53.6,C,New,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, Engines / propulsion.",Keep in watchlist,Mechanical parts,Eurosatory 2026 Catalog
