Company name,Website URL,Country,City,LinkedIn,Industry,Type,Lead score,Lead rating,Lifecycle stage,Buying need,Notes,Pitch,Next step,Owner
East Gear (International) Corp Limited,http://www.eastgear-int.com/,Hong-Kong,HONG KONG,,Soldier systems,Distributeur,70.0,B,New,Composite materials,Canal de distribution / représentation pour notre portefeuille.,Hi — we're scouting an exclusive distributor for your region.,Review website and validate opportunity,
EBERSPÄCHER CLIMATE CONTROL SYSTEMS INTERNATIONAL GMBH,http://www.eberspaecher.com/,Allemagne,ESSLINGEN,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
E-boost Gmbh,https://e-boost.com/,Allemagne,WALDKIRCH,,Other,OEM,39.6,D,New,Mechanical parts,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, Engines / propulsion.","Hi — E-boost Gmbh ships Logistics equipment, Engines / propulsion to defense customers.",No immediate action,
EBOS technologies ltd,https://www.ebosrnd.eu/,Cyprus,NICOSIA,https://www.linkedin.com/company/ebos-technologies-ltd,Cybersecurity,OEM,81.0,A,New,Energy / batteries,"Threat intel, hardware appliances, cloud souverain, audits.","Hi — I noticed EBOS technologies ltd builds UAV / drones, Sensors (+14) for Cybersecurity.",Contact sales team and qualify need,
E-BUSINESS VENTURE,https://ebv.fr/,France,SAINT MAUR DES FOSSES,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Echodyne,http://www.echodyne.com/,États-Unis,KIRKLAND,https://www.linkedin.com/company/echodyne/posts/?feedView=all,Radar / sensors,OEM,45.0,C,New,Electronic components,Vend des sous-systèmes / composants à un OEM construisant Radars.,Hi — Echodyne ships Radars to defense customers.,Keep in watchlist,
ECLIPTIC DEFENCE AND SPACE,https://www.ecliptic-ds.com/,Cyprus,NICOSIA,,Electronic warfare,Distributeur,75.0,A,New,Energy / batteries,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed ECLIPTIC DEFENCE AND SPACE builds UAV / drones, Counter-UAV systems (+10) for Electronic warfare.",Contact sales team and qualify need,
eCon Trading Ltd.,https://econengineering.com/en/,Hongrie,Budapest,,Naval defense,Distributeur,75.0,A,New,Engines / propulsion,"Radars, sonars, comms, armement, sustainment pour primes navals.",Hi — I noticed eCon Trading Ltd.,Contact sales team and qualify need,
ECONOMAT DES ARMEES,https://economat-armees.com/,France,PANTIN CEDEX,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ECOSUN INNOVATIONS,https://www.ecosuninnovations.com/,France,WETTOLSHEIM,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ECOTEST GROUP,http://ecotestgroup.com/,Ukraine,LVIV,https://www.linkedin.com/company/10967767,NRBC / CBRN,Distributeur,67.0,B,New,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Software / Platforms.","Hi — ECOTEST GROUP ships Vehicles, Software / Platforms (+3) to Aerospace primes, Police / law enforcement (+1).",Review website and validate opportunity,
ECRIN SYSTEMS,http://www.ecrin.com/,France,CROLLES,https://www.linkedin.com/company/ecrin-systems/,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ED PUBLISHING,https://www.edrmagazine.eu/,France,PARIS,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Edeis ingénierie,http://www.edeis.com/expertises/ingenierie/,France,NANTES CEDEX 3,https://www.linkedin.com/company/edeis/,Logistics / MRO,OEM,58.4,C,New,Mechanical parts,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,"Hi — Edeis ingénierie ships Logistics equipment to Police / law enforcement, Critical infrastructure.",Keep in watchlist,
EDePro d.o.o,http://www.edepro.com/,Serbie,BELGRADE,,Space / satellite,Bureau d'ingénierie,71.0,B,New,Energy / batteries,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed EDePro d.o.o builds UAV / drones, Weapons (+7) for Space / satellite.",Review website and validate opportunity,
EDGE GROUP,https://edgegroupuae.com/,Émirats arabes unis,ABU DHABI,https://www.linkedin.com/company/edgegroup/,Other,À vérifier,17.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed EDGE GROUP at Eurosatory.,No immediate action,
EDH,https://edh.fr/,France,MESANGER,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EDI-USA,https://execdefense.com/,États-Unis,PHILADELPHIA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EES CLEMESSY,https://www.clemessy.com/,France,SAINT JEAN DE LA RUELLE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EES-CLEMESSY,https://www.clemessy.com/,France,ARRAS CEDEX 9,https://www.linkedin.com/company/eiffageenergiesystemes/,C4ISR,OEM,74.0,B,New,Electronic components,"Vend des sous-systèmes / composants à un OEM construisant Robotics / UGV, Logistics equipment.","Hi — EES-CLEMESSY ships Robotics / UGV, Logistics equipment (+6) to Critical infrastructure.",Review website and validate opportunity,
efa France,https://efa-controls.com/,France,FONDETTES,https://www.linkedin.com/company/efa-france/,Radar / sensors,Sous-traitant industriel,68.0,B,New,Electronic components,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed efa France builds Sensors, Software / Platforms (+7) for Radar / sensors.",Review website and validate opportunity,
EFT GROUP Sp. z o.o.,https://eftgroup.pl/en/,Pologne,Widziszewo,,Other,OEM,48.9,C,New,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Logistics equipment.",Hi — EFT GROUP Sp. z o.o.,Keep in watchlist,
Ege Araç Teknolojileri A.Ş.,,Turquie,İzmir,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Ege Endüstri ve Ticaret A.Ş.,,Turquie,İzmir,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Ege Fren Sanayi A.Ş.,https://www.egefren.com.tr/,Turquie,İzmir,,Other,OEM,38.4,D,New,Mechanical parts,Vend des sous-systèmes / composants à un OEM construisant Engines / propulsion.,Hi — Ege Fren Sanayi A.Ş.,No immediate action,
EGIDE,https://www.egide-tech.com/,France,RIS-ORANGIS,https://www.linkedin.com/company/egide-tech/,Intelligence / ISR,OEM,78.0,A,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed EGIDE builds UAV / drones, Counter-UAV systems (+6) for Intelligence / ISR.",Contact sales team and qualify need,
EID,http://www.eid.pt/,Portugal,CHARNECA DA CAPARICA,https://www.linkedin.com/company/eid-sa,C4ISR,OEM,76.0,A,New,Engines / propulsion,"Composants, sous-systèmes, software, services pour primes C4ISR.","Hi — I noticed EID builds Vehicles, Optronics / Optics (+6) for C4ISR.",Contact sales team and qualify need,
EINSA,https://www.einsa.es/,Espagne,ALCALA DE HENARES MADRID,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EIZO Rugged Solutions,http://www.eizorugged.com/,États-Unis,Orlando,https://www.linkedin.com/company/eizoruggedsolutions/,Electronic warfare,OEM,68.0,B,New,Electronic components,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed EIZO Rugged Solutions builds Sensors, Radars (+5) for Electronic warfare.",Review website and validate opportunity,
EKOSCAN,https://www.ekoscan-ndt.com/,France,SAINT REMY,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Eksma Optics,http://www.eksmaoptics.com/,Lituanie,VILNIUS,https://www.linkedin.com/company/eksma-optics/,Soldier systems,OEM,68.0,B,New,Electronic components,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed Eksma Optics builds Optronics / Optics, Sensors (+3) for Soldier systems.",Review website and validate opportunity,
ELAUL,https://www.elaul.fr/,France,MONTAUBAN,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Elbe Holding,http://www.elbe-group.de/en/,Allemagne,BIETIGHEIM-BISSINGEN,,Space / satellite,OEM,72.5,B,New,Engines / propulsion,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed Elbe Holding builds Vehicles, Sensors (+4) for Space / satellite.",Review website and validate opportunity,
Elbit Systems,http://www.elbitsystems.com/,Israël,HAIFA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Elbit Systems Sweden AB,http://elbitsystems.se/,Suède,Gothenburg,https://www.linkedin.com/company/elbit-systems-sweden-ab/,Intelligence / ISR,OEM,69.0,B,New,Electronic components,"Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics, Tactical radios.","Hi — Elbit Systems Sweden AB ships Optronics / Optics, Tactical radios (+2) to Navy.",Review website and validate opportunity,
"ELDIS PARDUBICE, S.R.O.",http://www.eldis.cz/,République tchèque,PARDUBICE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Electro Optic Systems,https://www.eos-aus.com/,Australie,CANBERRA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ELECTROPOLI SA,http://www.electropoli.com/,France,ISIGNY LE BUAT,https://www.linkedin.com/company/groupe-electropoli-sa/,Ammunition,Sous-traitant industriel,65.5,B,New,Mechanical parts,"Matériaux énergétiques, mécanique, packaging, certification.","Hi — I noticed ELECTROPOLI SA builds Logistics equipment, Communications networks (+2) for Ammunition.",Review website and validate opportunity,
Electro-therm,https://www.electrotherm.fr/,France,BRON,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Elektroda Zagreb d.o.o.,https://ezg.hr/,Croatie,Zaprešić,,Naval defense,Distributeur,62.5,B,New,Sensors,Canal de distribution / représentation pour notre portefeuille.,Hi — we're scouting an exclusive distributor for Europe.,Review website and validate opportunity,
ELETTRONICA SPA,https://www.eltgroup.net/,Italie,ROMA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
"ELFYS, INC.",http://www.elfys.fi/,Finlande,ESPOO,https://www.linkedin.com/company/elfys,Intelligence / ISR,OEM,77.4,A,New,Electronic components,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ELFYS, INC.",Contact sales team and qualify need,
ELGIE - Actemium Roanne Connectique,https://www.actemium.fr/implantations/actemium-roanne-connectique/presentation/,France,ROANNE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ELIKA TEAM,https://elikateam.com/,France,BIARRITZ,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Elistair,http://www.elistair.com/,France,DARDILLY,https://www.linkedin.com/company/3720597/admin/dashboard/,Intelligence / ISR,OEM,73.5,B,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed Elistair builds UAV / drones, Sensors (+9) for Intelligence / ISR.",Review website and validate opportunity,
Elmo Motion Control,https://www.elmomc.com/,Israël,PETACH TIKVA,https://www.linkedin.com/company/elmomotioncontrol/,Other,À vérifier,16.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Elmo Motion Control at Eurosatory.,No immediate action,
ELMON SA,https://www.elmon.com/,Grèce,ATHENS PEANIA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ELNO,https://www.elno.fr/,France,ARGENTEUIL,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ELYNXO,http://www.elynxo.fr/,France,LES ULIS,https://www.linkedin.com/company/10376980/,Industrial subcontracting,Sous-traitant industriel,62.5,B,New,"Raw materials (steel, aluminium)","Matières premières, outils coupants, services qualité pour sous-traitants.","Hi — I noticed ELYNXO builds Mechanical parts, Optronics / Optics (+4) for Industrial subcontracting.",Review website and validate opportunity,
EM&E,https://www.eme-es.com/,Espagne,ALCALÁ DE HENARES,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Emaan International Company,,Arabie saoudite,Riyadh,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EMAG,http://www.emag.com/,Allemagne,SALACH,https://www.linkedin.com/company/emaggroup,Armored vehicles,Distributeur,80.0,A,New,Engines / propulsion,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Hi — I noticed EMAG builds Vehicles, Weapons (+5) for Armored vehicles.",Contact sales team and qualify need,
Embedl,http://www.embedl.com/,Suède,Göteborg,https://www.linkedin.com/company/embedl/,Intelligence / ISR,Distributeur,77.0,A,New,Cloud / data services,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed Embedl builds Software / Platforms, Embedded systems (+8) for Intelligence / ISR.",Contact sales team and qualify need,
EMBERION LTD,http://www.emberion.com/,Royaume-Uni,CAMBRIDGE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EMBRAER,http://embraer.com/defense-security-overview/en/,Brésil,SÃO JOSÉ DOS CAMPOS,,Other,À vérifier,16.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed EMBRAER at Eurosatory.,No immediate action,
EMD,http://www.emd-pro.com/,France,LANESTER,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Emergent Swarm Solutions,https://emergentswarms.com/,Pays-Bas,DELFT,,UAV / drones,OEM,61.0,B,New,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed Emergent Swarm Solutions builds UAV / drones, Sensors (+3) for UAV / drones.",Review website and validate opportunity,
Emiliana Serbatoi,http://www.emilianaserbatoi.com/,Italie,CAMPOGALLIANO,https://www.linkedin.com/company/11005217,Cybersecurity,OEM,67.5,B,New,Engines / propulsion,"Outils SOC/SIEM, brique de sécurité défensive pour vendeur cyber.","Hi — Emiliana Serbatoi ships Vehicles, Logistics equipment (+1) to defense customers.",Review website and validate opportunity,
Emirates Cable Corporation Interconnect (ECCI),https://ecci.ae/,Émirats arabes unis,Abu Dhabi,,Logistics / MRO,À vérifier,26.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Emirates Cable Corporation Interconnect (ECCI) at Eurosatory.,No immediate action,
EMITECH,http://www.emitech.fr/,France,MONTIGNY LE BRETONNEUX,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EMJ Metāls SIA,http://www.emjmetals.lv/,Lettonie,Ķekavas novads,https://www.linkedin.com/company/emj-metals-sia/,Other,Sous-traitant industriel,40.7,C,New,Mechanical parts,Activité à qualifier — discovery call avant pitch précis.,"Hi — I noticed EMJ Metāls SIA builds Logistics equipment, Communications networks for Other.",Keep in watchlist,
Empact ApS,,Danemark,København NV,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EMPL,https://www.empl.at/,Autriche,KALTENBACH IM ZILLERTAL,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EMS Concept,https://www.ems-concept.com/,France,SAVERNE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EMTECH,https://www.emtechinc.net/,États-Unis,Sterling Heights,,Naval defense,OEM,68.0,B,New,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Software / Platforms.","Hi — EMTECH ships Vehicles, Software / Platforms (+2) to defense customers.",Review website and validate opportunity,
ENAG,https://www.enag.fr/,France,QUIMPER,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ENCORP LTD,https://encorp.eu/,Cyprus,NICOSIA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Energetics Technology ltd,https://www.energetics-technology.com/,Royaume-Uni,"Ashbourne, Derbyshire",,Other,OEM,43.4,C,New,Cloud / data services,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Logistics equipment.","Hi — Energetics Technology ltd ships Software / Platforms, Logistics equipment (+1) to defense customers.",Keep in watchlist,
ENERGIE METAL,https://www.energie-metal.fr/,France,LE COTEAU,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Engineering Conception Maintenance,https://www.ecm-crit.com/,France,Paris,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Enidine,https://www.enidine.com/,États-Unis,Orchard Park,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Ensign-Bickford Aerospace & Defense,http://www.ebad.com/,États-Unis,SIMSBURY,https://www.linkedin.com/company/ensign-bickford-aerospace-&-defense-company/,Other,À vérifier,27.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Ensign-Bickford Aerospace & Defense at Eurosatory.,No immediate action,
ENSTROM HELICOPTER CORPORATION,http://www.enstromhelicopter.com/,États-Unis,MENOMINEE,,Space / satellite,OEM,70.0,B,New,Mechanical parts,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed ENSTROM HELICOPTER CORPORATION builds Logistics equipment, Engines / propulsion (+4) for Space / satellite.",Review website and validate opportunity,
Entremonde Polycoaters Limited,http://www.entremonde.com/,Inde,NASHIK,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EO SECURITY s.r.o.,https://www.eo-security.com/,République tchèque,Brno,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EODH SA,http://www.eodh-protection.com/,Grèce,THESSALONIKI,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EOS GmbH,http://www.eos.info/,Allemagne,Krailing,,UAV / drones,OEM,78.0,A,New,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed EOS GmbH builds UAV / drones, Software / Platforms (+7) for UAV / drones.",Contact sales team and qualify need,
EOS TECHNOLOGIE,https://www.eos-technologie.com/,France,VARCES-ALLIÈRE-ET-RISSET,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EOST,https://www.eosystem.com/,Corée du Sud,SEOUL,https://www.linkedin.com/company/96136565/admin/feed/posts/,Other,À vérifier,16.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed EOST at Eurosatory.,No immediate action,
EPCI,,France,ENNERY,https://www.linkedin.com/in/epci-engineering/,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Epec Oy,http://www.epec.fi/,Finlande,Seinäjoki,https://www.linkedin.com/company/epec/,Simulation / training,OEM,71.5,B,New,Engines / propulsion,"Visuel, motion, haptique, IA pour fabricants de simulateurs.","Hi — I noticed Epec Oy builds Vehicles, Software / Platforms (+3) for Simulation / training.",Review website and validate opportunity,
Ephyca,https://www.ephyca.com/,Belgique,LIEGE,https://www.linkedin.com/company/ephyca/,UAV / drones,Bureau d'ingénierie,75.0,A,New,Electronic components,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed Ephyca builds Sensors, Software / Platforms (+4) for UAV / drones.",Contact sales team and qualify need,
EPSI,http://epsi-radars.fr/,France,BEAUZELLE,https://www.linkedin.com/company/epsi-itni,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EPSILON,http://www.epsilon-tolerie.fr/,France,MAULEVRIER,https://fr.linkedin.com/company/epsilon-tolerie,Naval defense,Sous-traitant industriel,58.7,C,New,Electronic components,"Radars, sonars, comms, armement, sustainment pour primes navals.","Hi — I noticed EPSILON builds Sensors, Logistics equipment for Naval defense.",Keep in watchlist,
Epsilor-Electric Fuel Ltd,http://www.epsilor.com/,Israël,BET SHEMESH,,UAV / drones,Distributeur,75.0,A,New,Engines / propulsion,Sub-system / payload pour OEM drones tactiques.,"Hi — Epsilor-Electric Fuel Ltd ships Vehicles, UAV / drones (+3) to Land forces, Aerospace primes (+4).",Contact sales team and qualify need,
EQUANS,http://equans.fr/,France,VELIZY VILLACOUBLAY,https://www.linkedin.com/company/equans-france/posts/?feedView=all,Electronic warfare,Distributeur,74.0,B,New,"Materials (Li-ion, electrolytes)","Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed EQUANS builds Energy / batteries, Sensors (+4) for Electronic warfare.",Review website and validate opportunity,
EQUIMODAL,http://www.equimodal.com/,Espagne,Zaragoza,https://www.linkedin.com/company/equimodal/?originalSubdomain=es,Logistics / MRO,OEM,65.3,B,New,Mechanical parts,"Pièces de rechange, calibration, certification pour acteurs MRO.","Hi — I noticed EQUIMODAL builds Logistics equipment, Energy / batteries (+1) for Logistics / MRO.",Review website and validate opportunity,
"EQUIPOS MOVILES DE CAMPANA ARPA, S.A.U.",https://www.arpaemc.com/,Espagne,LA MUELA(ZARAGOZA),,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ERA A.S.,http://www.era.aero/,République tchèque,PARDUBICE,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ERARD INDUSTRIE,https://www.erard-industrie.com/,France,CHAVANOZ,,Other,À vérifier,2.0,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed ERARD INDUSTRIE at Eurosatory.,No immediate action,
ERASER,https://eraser.lv/,Lettonie,RIGA,,Other,OEM,38.4,D,New,Mechanical parts,Activité à qualifier — discovery call avant pitch précis.,"Hi — I noticed ERASER builds Logistics equipment, Electronic components for Other.",No immediate action,
Ericsson,,Suède,Kista,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ERLA TECHNOLOGIES S.A.S.,http://erla.fr/,France,SAINT MAURICE SUR MOSELLE,https://www.linkedin.com/company/erlatechnologies/,Intelligence / ISR,Bureau d'ingénierie,60.7,B,New,Electronic components,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Hi — I noticed ERLA TECHNOLOGIES S.A.S.,Review website and validate opportunity,
ERM Fab&Test,http://www.erm-fabtest.com/,France,CARPENTRAS,https://www.linkedin.com/company/erm-fab-test,Other,À vérifier,15.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed ERM Fab&Test at Eurosatory.,No immediate action,
Esh-tech Systems,https://www.esh-tech.com/,Israël,OMER,https://www.linkedin.com/company/esh-tech-systems/?viewAsMember=true,Other,À vérifier,17.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Esh-tech Systems at Eurosatory.,No immediate action,
ESSETI PRINTED CIRCUIT BOARD,http://www.circuiti-stampati.com/,Italie,ARGELATO,https://www.linkedin.com/in/esseti-circuiti-stampati-74b37678/,Space / satellite,Sous-traitant industriel,61.1,B,New,Cloud / data services,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed ESSETI PRINTED CIRCUIT BOARD builds Software / Platforms, Electronic components (+2) for Space / satellite.",Review website and validate opportunity,
ESSONNE SECURITE SIDES ARMORIC HOLDING,http://www.essonnesecurite.fr/,France,TREMEUR,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Estonian Defence and Aerospace Industry Association,,Estonie,Tallinn,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ETENDARD,http://etendard.tech/,France,VAULX-EN-VELIN,https://www.linkedin.com/company/etendard-tech/posts/?feedView=all,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Eternum Ltd.,https://www.eternum.com/en,Hongrie,Budapest,,Logistics / MRO,OEM,54.4,C,New,RF / microwave components,Vend des sous-systèmes / composants à un OEM construisant Communications networks.,Hi — Eternum Ltd. ships Communications networks to defense customers.,Keep in watchlist,
ETHEREAL MACHINES,http://etherealmachines.com/,Inde,BENGALURU,https://www.linkedin.com/company/etherealmachines/,Intelligence / ISR,OEM,71.5,B,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ETHEREAL MACHINES builds UAV / drones, Electronic components (+13) for Intelligence / ISR.",Review website and validate opportunity,
Etienne Lacroix Logistics,https://www.etienne-lacroix-logistics.com/,France,Muret,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
"ETL Co., Ltd. (Stealth Technology)",https://www.etlst.com/,Corée du Sud,GYEONGSANGNAM-DO,,Other,À vérifier,16.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Hi — I noticed ETL Co., Ltd.",No immediate action,
ETRI (ROSENBERG VENDOME),http://www.etrinet.com/,France,VENDOME,https://www.linkedin.com/company/ecofit-etri/,Radar / sensors,OEM,61.6,B,New,Electronic components,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed ETRI (ROSENBERG VENDOME) builds Radars, Engines / propulsion for Radar / sensors.",Review website and validate opportunity,
ETRONIKA,http://www.etronika.pl/start-en/,Pologne,WARSZAWA,https://www.linkedin.com/company/etronika-pl,UAV / drones,OEM,73.5,B,New,Electronic components,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed ETRONIKA builds Optronics / Optics, UAV / drones (+3) for UAV / drones.",Review website and validate opportunity,
ETS GABRIEL ET CIE,https://www.gabriel-lyon.fr/,France,TREVOUX CEDEX,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EUCLIDE INDUSTRIE,http://www.euclide.pro/,France,PARIS,https://www.linkedin.com/company/euclideindustrie,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
EURENCO S.A.S.,http://www.eurenco.com/,France,SORGUES,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
"EURO SECURITY PRODUCTS, S.R.O.",http://www.esp-products.com/,République tchèque,Bast,https://linkedin.com/in/ondrejmuzika,Weapons,OEM,62.5,B,New,Mechanical parts,"Usinage de précision, matériaux, optronique, composants munitions ITAR-friendly.","Hi — I noticed EURO SECURITY PRODUCTS, S.R.O.",Review website and validate opportunity,
EUROATLAS GmbH,https://www.euroatlas.com/,Allemagne,BREMEN,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
