exhibitor_id,company_name,country,website,pavilion,activity_1liner,supply_chain_tier,products,products_categories,services,services_categories,target_buyers,technologies,technologies_categories,why_target,completeness_score,data_source_strength
378,Captec Group,United-Kingdom,http://www.captec-group.com/,,Conçoit et intègre des ordinateurs durcis et systèmes embarqués pour applications critiques certifiées.,Tier 1,ordinateurs durcis embarqués · systèmes informatiques intégrés mil-grade · plateformes de calcul certifiées · châssis et boîtiers durcis,Composants électroniques & cartes · Boîtiers & châssis durcis · Avionique & instruments embarqués,intégration de systèmes · ingénierie électro-mécanique · gestion d'obsolescence & lifecycle · sous-traitance industrielle,Intégration de systèmes · Ingénierie & conseil · Sous-traitance industrielle,"Primes défense, Industriels défense, Export / international",informatique durcie · edge computing embarqué · intégration électro-mécanique,Edge computing & GPU embarqué · Microélectronique & semiconducteurs durcis,Partenaire UK pour primes défense / naval / aéro cherchant des plateformes de calcul durcies sur-mesure avec gestion d'obsolescence long terme.,100,manual
379,CARBON 01,France,http://carbon01.com/,,"Conseille en stratégie, intelligence économique et opérations pour la défense et l'industrie.",OEM,conseil stratégique défense · due-diligence M&A défense · études de marché défense · intelligence économique,Conseil stratégique & due-diligence M&A · Drones aériens (UAV) · Systèmes C2 & C4ISR,ingénierie / conseil,Ingénierie & conseil,"Industriels défense, MoD / Armées",,,"Cabinet conseil défense — partenaire pour la transformation, due-diligence M&A et études de marché.",85,medium
380,CARBON LIGHT PVT. LTD,India,https://www.carbonlight.com/,,Conçoit et fournit des matériaux composites et structures pour la défense et l'aéronautique.,OEM,matériaux composites carbone · structures composites aéronautiques · pré-imprégnés,Matériaux composites & blindage · Drones aériens (UAV) · Antennes & infrastructures RF · Logiciels de simulation & cyber range,intégration de systèmes,Intégration de systèmes,"Primes défense, Industriels défense, Export / international, MoD / Armées",matériaux composites · composites carbone,Matériaux composites,"Fournisseur Tier-1 composites — partenaire pour primes aéro, hélico et naval (structures, capots, radomes).",100,high
381,CARCANO SPA,Italy,https://www.carcano.it/,,"Fournit des équipement logistique, équipement du fantassin, réseaux de communication pour armées et forces de sécurité.",OEM,équipement logistique · équipement du fantassin · réseaux de communication · logiciels métier défense,Logistique militaire & transport · Équipement du fantassin (général) · Réseaux militaires (5G/P-LTE/MANET) · Logiciels métier défense (autres),formation · certification / tests,Formation & entraînement · Certification & tests,"MoD / Armées, Sécurité civile",textiles techniques tactiques · RF / micro-ondes · 5G / sans-fil · cloud,Communications RF / micro-ondes · 5G / réseaux radio mobiles · Cloud & cloud souverain,"Sous-traitant éligible pour les primes défense (mécanique, composants, ingénierie) — fournisseur potentiel pour pièces série courte certifiées EN9100/AQAP.",100,high
382,Carinthia - Goldeck Textil,Austria,http://www.carinthia.eu/,,"Conçoit et fabrique des batteries militaires, packs énergie pour drones, modules de gestion d'énergie pour armées.",OEM,batteries militaires · packs énergie pour drones · modules de gestion d'énergie · batteries / sources d'énergie · munitions de petit calibre · munitions de moyen calibre · amorçages et fusées,Batteries & packs énergétiques · Drones aériens (UAV) · Groupes électrogènes & énergie tactique · Explosifs & matériaux énergétiques,,,MoD / Armées,énergie portative · matériaux énergétiques,Matériaux énergétiques,Compétiteur sur batteries militaires — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,high
383,Carl Aug. Picard GmbH,Germany,http://www.capicard.de/,,Picard is a worldwide acting producer of metal sheets and parts.,Tier 1,,Logiciels métier défense (autres),ingénierie / conseil · distribution / représentation,Ingénierie & conseil · Distribution & représentation,"Primes défense, Export / international",IA / vision · 5G / sans-fil · robotique / autonomie · cybersécurité,IA / machine learning · 5G / réseaux radio mobiles · Robotique & autonomie · Cybersécurité,Prestataire potentiel de ingénierie / conseil pour primes défense — partenaire pour les marchés publics et industriels associés.,65,medium
384,Carmenta Geospatial Technologies,Sweden,http://www.carmenta.com/,,"Carmenta is a trusted partner to customers such as Thales, Airbus, Saab, and BAE Systems, as well as the Swedish Armed Forces and other d…",OEM,,Drones aériens (UAV) · Robots terrestres (UGV / EOD) · Systèmes C2 & C4ISR · Pièces mécaniques & usinage · Cybersécurité (logiciels & appliances),intégration de systèmes,Intégration de systèmes,Primes défense,simulation · cloud · robotique / autonomie,Navigation inertielle · Simulation & VR/AR · Cloud & cloud souverain · Robotique & autonomie,Prestataire potentiel de intégration de systèmes pour primes défense — partenaire pour les marchés publics et industriels associés.,80,medium
385,CARTONI SpA,Italy,http://www.cartoni.com/,,Conçoit et fabrique high-end professional camera support systems for the motion picture and television ind…,Tier 1,,Radars & traitement signal · Matériaux composites & blindage,distribution / représentation · intégration de systèmes,Distribution & représentation · Intégration de systèmes,Export / international,RF / micro-ondes · matériaux composites · Lidar / Laser,Communications RF / micro-ondes · Matériaux composites · Lidar / Laser,Canal de distribution sur le marché export / international — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,80,medium
386,CASE CONSTRUCTION EQUIPMENT,France,https://www.casece.com/fr-fr/europe,,DÉCOUVRIR PLUS Pelles sur Pneus Série E La montée de la roue.,Tier 1,équipement logistique · batteries / sources d'énergie · moteurs / propulsion · radars · capteurs embarqués,Logistique militaire & transport · Batteries & packs énergétiques · Moteurs aéronautiques · Radars & traitement signal · Capteurs embarqués (généraux),,,"MoD / Armées, Sécurité civile",cloud · Lidar / Laser · GNSS / GPS,Cloud & cloud souverain · Lidar / Laser · GNSS / navigation satellite,"Acheteur potentiel de gestion de flotte, télémétrie, énergie pour ses lignes logistique — également compétiteur sur le segment logistique.",100,high
387,CAT Defense,USA,https://cat.com/defense,,"Conçoit et fabrique des moteurs diesel, groupes électrogènes et véhicules tactiques pour la défense et la sécurité.",Tier 1,moteurs C9/C13/C18 (véhicules militaires) · groupes électrogènes tactiques · ensembles propulsion blindés,Moteurs diesel / propulsion lourde · Groupes électrogènes & énergie tactique,MCO moteurs · formation maintenance · support opérationnel,MCO / MRO · Formation & entraînement · Support opérationnel & OPEX,"MoD / Armées, Primes défense, Export / international",moteurs diesel haute puissance · groupes électrogènes tactiques,Autre — à qualifier,"Fournisseur Tier-1 de motorisation diesel pour véhicules blindés (LAV, Stryker) — partenaire stratégique pour primes véhicules cherchant alternatives MTU.",85,manual
388,ČATEKS,Croatia,https://cateks.hr/,,"Conçoit et fabrique des textiles techniques (camouflage IR, ignifugés) pour habillement militaire et équipement individuel.",Tier 3,tissus camouflage multi-spectre · tissus ignifugés · textiles balistiques,Textiles techniques tactiques · Pièces mécaniques & usinage,fourniture OEM,Sous-traitance industrielle,"MoD / Armées, Industriels défense, Export / international",textiles techniques tactiques,Autre — à qualifier,"Sous-traitant croate textile défense — fournisseur potentiel pour habilleurs fantassins (Paul Boyé, Marom Dolphin, Sioen).",100,manual
389,CAVEL,Italy,https://www.cavel.it/EN,,"Conçoit et fabrique des équipement logistique, réseaux de communication, systèmes optroniques.",Tier 1,équipement logistique · réseaux de communication · systèmes optroniques,Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET) · Optronique & viseurs (EO/IR),intégration de systèmes,Intégration de systèmes,"MoD / Armées, Export / international",5G / sans-fil · RF / micro-ondes · matériaux composites,5G / réseaux radio mobiles · Communications RF / micro-ondes · Matériaux composites,Compétiteur sur équipement logistique — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
390,CBC,Brazil,https://www.cbc.com.br/,,O conteúdo deste site só pode ser exibido a maiores de 18 anos de idade.,OEM,équipement logistique · munitions · logiciels métier défense,Logistique militaire & transport · Munitions petit/moyen calibre · Logiciels métier défense (autres),certification / tests,Certification & tests,Sécurité civile,RF / micro-ondes,Communications RF / micro-ondes,Compétiteur sur équipement logistique — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
391,CCI BOURGOGNE FRANCHE COMTE,France,http://www.bourgognefranchecomte.cci.fr/,,Anime le tissu PME industriel de Bourgogne-Franche-Comté et accompagne les entreprises défense à l'export et aux salons.,Tier 3,,Textiles techniques tactiques,représentation institutionnelle · accompagnement export PME · organisation collective de salons,Représentation institutionnelle (cluster/fédération) · Marketing & développement commercial · Organisation de salons & événements,Industriels défense,,,Porte d'entrée vers le tissu PME industriel BFC — utile pour identifier sous-traitants en mécanique de précision et armement.,65,manual
392,CCI GRAND EST,France,http://www.industrie.cci.alsace/,,"Anime le tissu industriel Grand Est (Alsace, Lorraine, Champagne-Ardenne) et accompagne les exportateurs défense.",Tier 3,,Textiles techniques tactiques,représentation institutionnelle · accompagnement export PME · événementiel collectif,Représentation institutionnelle (cluster/fédération) · Marketing & développement commercial · Organisation de salons & événements,Industriels défense,,,"Porte d'entrée vers le tissu industriel Grand Est — utile pour identifier sous-traitants en mécanique, optique, métallurgie.",65,manual
393,CCI PARIS ILE-DE-FRANCE,France,http://www.cci-paris-idf.fr/,,"Anime le tissu industriel d'Île-de-France et accompagne les entreprises (formation, conseil, apprentissage).",Tier 3,accompagnement création d'entreprise · formation et apprentissage · conseil aux PME,Textiles techniques tactiques,représentation institutionnelle · accompagnement export PME,Représentation institutionnelle (cluster/fédération) · Marketing & développement commercial,Industriels défense,,,"CCI Paris IDF — porte d'entrée vers le tissu industriel francilien (PME mécanique, électronique, aéronautique).",85,manual
394,CCI Seine-et-Marne,France,,,Anime le tissu économique du département (~6500 entreprises) et accompagne les PME défense à l'export.,Tier 3,,Textiles techniques tactiques,accompagnement export PME · formation entrepreneurs · mise en relation B2B · représentation institutionnelle,Marketing & développement commercial · Formation & entraînement · Représentation institutionnelle (cluster/fédération),Industriels défense,,,Porte d'entrée institutionnelle vers le tissu PME Seine-et-Marne — utile pour identifier sous-traitants franciliens en mécanique / électronique.,50,manual
395,CCO CREATIVE CONSULTING,Germany,http://www.cco-germany.eu/,,"Conseille en stratégie, intelligence économique et opérations pour la défense et l'industrie.",N/A,conseil stratégique défense · due-diligence M&A défense · études de marché défense · intelligence économique,Conseil stratégique & due-diligence M&A,ingénierie / conseil · distribution / représentation,Ingénierie & conseil · Distribution & représentation,"Industriels défense, MoD / Armées, Sécurité civile, Primes défense",,,"Cabinet conseil défense — partenaire pour la transformation, due-diligence M&A et études de marché.",85,high
396,CDDS,Switzerland,https://www.cdds.ai/,,"Conçoit et fabrique des drones aériens, équipement logistique, réseaux de communication pour forces de sécurité.",OEM,drones aériens · équipement logistique · réseaux de communication · systèmes anti-drone · capteurs embarqués,Drones aériens (UAV) · Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET) · Systèmes anti-drone (C-UAS) · Capteurs embarqués (généraux),intégration de systèmes,Intégration de systèmes,Sécurité civile,robotique / autonomie · RF / micro-ondes,Robotique & autonomie · Communications RF / micro-ondes,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,medium
397,CEA,France,https://www.cea.fr/,,"Conduit de la R&D appliquée pour la défense, l'aérospatial et les industriels.",Tier 1,R&D sur contrat défense · essais matériaux et qualification · brevets duaux civils-militaires · transfert de technologie,R&D académique & laboratoires · Pièces mécaniques & usinage · Batteries & packs énergétiques · Matériaux composites & blindage · Logiciels métier défense (autres),formation · ingénierie / conseil · certification / tests,Formation & entraînement · Ingénierie & conseil · Certification & tests,"MoD / Armées, Industriels défense",,,"Centre de R&D défense — partenaire incontournable pour primes et PME en développement de nouveaux alliages, procédés et technologies de rupture.",85,low
398,CEFA,France,http://www.cefa.fr/fr/,,"An innovative medium-sized industrial contractor, able to product equipment from design to manufacturing, to the standards set by the Wes…",Tier 3,,Pièces mécaniques & usinage,MCO / MRO · certification / tests,MCO / MRO · Certification & tests,MoD / Armées,robotique / autonomie · GNSS / GPS,Robotique & autonomie · GNSS / navigation satellite,Prestataire potentiel de MCO / MRO pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
399,CEGELEC Défense,France,http://www.defense.cegelec.com/,,"As a VINCI Energies subsidiary, Cegelec Défense designs and integrates solutions and systems to protect defense installations and critica…",Tier 1,,Cybersécurité (logiciels & appliances) · Pièces mécaniques & usinage,MCO / MRO · intégration de systèmes,MCO / MRO · Intégration de systèmes,,,,Prestataire potentiel de MCO / MRO pour des programmes défense/sécurité — à qualifier en discovery call.,50,medium
400,CEIA SPA,Italy,http://www.ceia.net/,,"Spécialisée dans the design, engineering and production of a complete range of Metal Detectors and El…",Tier 1,,Radars & traitement signal · Batteries & packs énergétiques · Sièges & ergonomie cabine · Cybersécurité (logiciels & appliances),formation · certification / tests · ingénierie / conseil · distribution / représentation · intégration de systèmes,Formation & entraînement · Certification & tests · Ingénierie & conseil · Distribution & représentation · Intégration de systèmes,"Sécurité civile, Export / international",GNSS / GPS · RF / micro-ondes · Lidar / Laser,GNSS / navigation satellite · Communications RF / micro-ondes · Lidar / Laser,Prestataire potentiel de formation pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,high
401,CELLOCK,Cyprus,https://www.cellock.com/,,"Conçoit et fabrique des véhicules militaires, drones aériens, logiciels métier défense.",OEM,véhicules militaires · drones aériens · logiciels métier défense · équipement logistique · capteurs embarqués,Véhicules tactiques (non blindés) · Drones aériens (UAV) · Logiciels métier défense (autres) · Logistique militaire & transport · Capteurs embarqués (généraux),,,MoD / Armées,IA / vision · cloud · robotique / autonomie · edge computing · cryptographie,IA / machine learning · Cloud & cloud souverain · Robotique & autonomie · Edge computing & GPU embarqué · Cryptographie,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,medium
402,CELLULAR EXPERT,Lithuania,https://www.cellular-expert.com/,,Édite des logiciels de planification radio et propagation RF pour les opérateurs télécom et la défense.,Tier 1,logiciel Cellular Expert (planification cellulaire) · modules de propagation RF · outils d'analyse de couverture,Logiciels métier défense (autres),formation logicielle · intégration SIG défense,Formation & entraînement · Intégration de systèmes,"MoD / Armées, Sécurité civile, Export / international",modélisation RF · SIG / cartographie tactique,Communications RF / micro-ondes,"Compétiteur sur logiciels de planification RF (vs Atoll, Asset) — cible pour les armées modernisant leur planification de communications tactiques.",85,manual
403,Cemar International Industrial,United Arab Emirates,https://www.cemar-international.com/,,"Conçoit et fabrique des pièces mécaniques de précision, ensembles mécano-soudés, composants usinés CNC.",OEM,pièces mécaniques de précision · ensembles mécano-soudés · composants usinés CNC · pièces mécaniques · véhicules militaires · véhicules tactiques · ensembles spéciaux pour véhicules militaires,Pièces mécaniques & usinage · Véhicules tactiques (non blindés) · Véhicules blindés,certification / tests,Certification & tests,MoD / Armées,Lidar / Laser,Lidar / Laser,Compétiteur sur pièces mécaniques de précision — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
404,CENATS,France,http://www.cenats.com/,,"Precision mechanical parts and assemblies, from prototype to mass production, for advanced sectors such as aerospace, defense, energy, an.",Tier 3,,Pièces mécaniques & usinage · Hydraulique & motion control · Aciers & métallurgie spéciale,ingénierie / conseil · certification / tests,Ingénierie & conseil · Certification & tests,Primes défense,Lidar / Laser,Lidar / Laser,Prestataire potentiel de ingénierie / conseil pour primes défense — partenaire pour les marchés publics et industriels associés.,80,medium
405,Censec,Denmark,,,Anime le cluster danois de la défense et de la sécurité (~150 PME) et facilite la coopération européenne.,N/A,,"Représentation institutionnelle (cluster, fédération, chambre)",représentation institutionnelle des PME danoises défense · mise en relation avec primes & donneurs d'ordre · accompagnement projets EDF / Horizon Europe · promotion à l'export,Représentation institutionnelle (cluster/fédération) · Marketing & développement commercial,"Industriels défense, Primes défense, Export / international",,,"Porte d'entrée vers ~150 PME danoises de la défense — partenariats EDF/Horizon Europe et accès aux primes Terma, Weibel, Systematic.",50,manual
406,CENSUS,Greece,https://census-labs.com/,,"Distribue des équipement logistique, réseaux de communication, logiciels métier défense pour forces de sécurité.",OEM,équipement logistique · réseaux de communication · logiciels métier défense · systèmes embarqués · systèmes navals,Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET) · Logiciels métier défense (autres) · Composants électroniques & cartes · Navires & sous-systèmes navals,services cloud / données · ingénierie / conseil · intégration de systèmes,Services cloud & data · Ingénierie & conseil · Intégration de systèmes,Sécurité civile,cybersécurité · cloud · simulation · cryptographie · robotique / autonomie,Cybersécurité · Cloud & cloud souverain · Navigation inertielle · Simulation & VR/AR · Cryptographie · Robotique & autonomie,Canal de distribution sur le marché sécurité civile — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,100,medium
407,CENTER OF INNOVATIVE TECHNOLOGIES LLC,Uzbekistan,https://itm-llc.uz/,,"Conçoit et fabrique des robots terrestres (UGV), plateformes robotiques tactiques, modules de téléopération.",OEM,robots terrestres (UGV) · plateformes robotiques tactiques · modules de téléopération,Robots terrestres (UGV / EOD),,,MoD / Armées,robotique / autonomie,Robotique & autonomie,"Acheteur potentiel de capteurs, batteries, propulsion, châssis composite pour ses lignes robotique terrestre — également compétiteur sur le segment robotique terrestre.",100,low
408,Centigon France,France,http://www.centigon.fr/,,"Created in 1948, Centigon France is an industrial SME specialized in armoring vehicles for troop transportation, authorities, and medical…",OEM,,Véhicules blindés,formation,Formation & entraînement,Sécurité civile,cloud,Cloud & cloud souverain,Prestataire potentiel de formation pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,medium
409,CENTUM,Spain,http://centum.com/en/,,"Spécialisée dans airborne technology based on mobile phone systems, making both as individuals and our societ…",OEM,,Drones aériens (UAV) · Radios tactiques & SDR · Plateformes IA / vision défense,certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,"Sécurité civile, Primes défense",5G / sans-fil · GNSS / GPS · cloud · robotique / autonomie,5G / réseaux radio mobiles · GNSS / navigation satellite · Cloud & cloud souverain · Robotique & autonomie,Prestataire potentiel de certification / tests pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,high
410,"CENTURY ARMS, INC.",USA,https://www.centuryarms.com/,,"Conçoit et fabrique des armes, équipement logistique, munitions pour armées.",OEM,armes · équipement logistique · munitions,Armes légères & accessoires · Logistique militaire & transport · Munitions petit/moyen calibre,,,"MoD / Armées, Export / international",mécanique d'armement · matériaux énergétiques,Matériaux énergétiques,"Acheteur potentiel de mécanique de précision, optronique, matériaux énergétiques pour ses lignes armes — également compétiteur sur le segment armes.",100,high
411,CEOTRONICS AG,Germany,https://www.ceotronics.com/,,"Conçoit et fabrique des équipement du fantassin, équipement logistique, logiciels métier défense pour armées et forces de sécurité.",OEM,équipement du fantassin · équipement logistique · logiciels métier défense · batteries / sources d'énergie · systèmes optroniques,Équipement du fantassin (général) · Logistique militaire & transport · Logiciels métier défense (autres) · Batteries & packs énergétiques · Optronique & viseurs (EO/IR),certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,"MoD / Armées, Sécurité civile",5G / sans-fil,5G / réseaux radio mobiles,"Acheteur potentiel de optronique fantassin, énergie portative, textiles techniques pour ses lignes équipement fantassin — également compétiteur sur le segment équipement fantassin.",100,high
412,CERANEXT LTD,Cyprus,https://ceranext.com/,,"Distribue des véhicules militaires, équipement logistique, réseaux de communication pour forces de sécurité.",OEM,véhicules militaires · équipement logistique · réseaux de communication · drones aériens · capteurs embarqués,Véhicules tactiques (non blindés) · Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET) · Drones aériens (UAV) · Capteurs embarqués (généraux),intégration de systèmes,Intégration de systèmes,Sécurité civile,cloud · RF / micro-ondes · 5G / sans-fil · cryptographie,Cloud & cloud souverain · Communications RF / micro-ondes · 5G / réseaux radio mobiles · Cryptographie,Canal de distribution sur le marché sécurité civile — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,100,high
413,CERBAIR,France,https://www.cerbair.com/fr/,,"En savoir plus / NoS SOLUTIONS Nos solutions contre les drones malveillants Nos solutions éprouvées, évolutives et simples d'utilisation…",OEM,véhicules militaires · drones aériens · systèmes anti-drone · capteurs embarqués · équipement logistique,Véhicules tactiques (non blindés) · Drones aériens (UAV) · Systèmes anti-drone (C-UAS) · Capteurs embarqués (généraux) · Logistique militaire & transport,,,"MoD / Armées, Sécurité civile, Primes défense",GNSS / GPS,GNSS / navigation satellite,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,high
414,CERIMATEC,France,https://www.cerimatec.fr/,,"Nous vous accompagnons avec des solutions conçues sur-mesure, adaptées à vos besoins spécifiques et évolutifs, pour vous apporter des rés…",OEM,robots terrestres (UGV) · plateformes robotiques tactiques · modules de téléopération · capteurs embarqués · modules de détection multi-capteurs · réseaux de capteurs distribués,Robots terrestres (UGV / EOD) · Capteurs embarqués (généraux),ingénierie / conseil · formation · certification / tests,Ingénierie & conseil · Formation & entraînement · Certification & tests,MoD / Armées,simulation · robotique / autonomie,Navigation inertielle · Simulation & VR/AR · Robotique & autonomie,"Acheteur potentiel de capteurs, batteries, propulsion, châssis composite pour ses lignes robotique terrestre — également compétiteur sur le segment robotique terrestre.",100,medium
415,CERTIX GROUP,France,https://www.certix-group.com/,,"Sous-traite l'usinage de précision (5 axes, CNC) pour la défense et l'aéronautique.",Tier 2,pièces usinées de précision · ensembles micro-mécaniques · composants CNC complexes,Pièces mécaniques & usinage · Connectique & câblage durcis,ingénierie / conseil · sous-traitance · formation,Ingénierie & conseil · Sous-traitance industrielle · Formation & entraînement,"Primes défense, Industriels défense",mécanique de précision · usinage 5 axes,Autre — à qualifier,"Sous-traitant éligible EN9100/AQAP — fournisseur potentiel pour pièces série courte des programmes défense (Scorpion, Eurofighter, MGCS).",100,low
416,CES Advanced Armour,Turkey,http://www.cesarmour.co.uk/,,Conçoit et fournit des matériaux composites et structures pour la défense et l'aéronautique.,Tier 3,matériaux composites carbone · structures composites aéronautiques · pré-imprégnés,Matériaux composites & blindage · Pièces mécaniques & usinage,ingénierie / conseil · services cloud / données,Ingénierie & conseil · Services cloud & data,"Primes défense, Industriels défense, Export / international, Sécurité civile",matériaux composites · composites carbone,Matériaux composites,"Fournisseur Tier-1 composites — partenaire pour primes aéro, hélico et naval (structures, capots, radomes).",100,high
417,Česká agentura na podporu obchodu / CzechTrade,Czech Republic,https://www.czechtrade.eu/,,Représente le tissu industriel défense et facilite la coopération internationale.,Tier 1,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,"Représentation institutionnelle (cluster, fédération, chambre) · Textiles techniques tactiques · Batteries & packs énergétiques · Réseaux militaires (5G/P-LTE/MANET) · Plateformes IA / vision défense",distribution / représentation,Distribution & représentation,"Industriels défense, Export / international",,,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,low
418,Ceska zbrojovka a.s.,Czech Republic,http://www.czub.cz/,,"Conçoit et fabrique des accessoires d'armes (chargeurs, rails, crosses) pour militaires et police.",OEM,fusils d'assaut · pistolets de service · fusils de précision,Armes légères & accessoires,,,"MoD / Armées, Sécurité civile, Export / international",mécanique d'armement,Autre — à qualifier,Compétiteur sur armes légères pour fantassins et police — acheteur de matériaux énergétiques et composants mécaniques de précision.,100,high
419,CET Fire Pumps,Canada,https://www.fire-pump.com/,,"Conçoit et fabrique des moteurs / propulsion, véhicules militaires, capteurs embarqués.",OEM,moteurs / propulsion · véhicules militaires · capteurs embarqués,Moteurs aéronautiques · Véhicules tactiques (non blindés) · Capteurs embarqués (généraux),distribution / représentation,Distribution & représentation,MoD / Armées,moteurs aéronautiques · véhicules tout-terrain · capteurs IoT industriels,Capteurs IoT industriels,Compétiteur sur moteurs / propulsion — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
420,CETIC,France,https://www.cetic.fr/,,CETIC réalise sur mesure toutes les protections de vos machines.,OEM,systèmes satellitaires · terminaux satellite · modules d'avionique spatiale · munitions de petit calibre · munitions de moyen calibre · amorçages et fusées · munitions,Satellites & CubeSats · Avionique & instruments embarqués · Explosifs & matériaux énergétiques · Munitions petit/moyen calibre,ingénierie / conseil,Ingénierie & conseil,MoD / Armées,communications satellite · GNSS / GPS · matériaux énergétiques,GNSS / navigation satellite · Matériaux énergétiques,"Acheteur potentiel de composants RF, optique cryogénique, électronique radhard pour ses lignes spatial — également compétiteur sur le segment spatial.",100,medium
421,CetraC Technologies,France,https://www.cetrac.io/,,"Conçoit et fabrique des véhicules militaires, logiciels métier défense, composants électroniques pour forces de sécurité.",OEM,véhicules militaires · logiciels métier défense · composants électroniques · équipement logistique · réseaux de communication,Véhicules tactiques (non blindés) · Logiciels métier défense (autres) · Composants électroniques & cartes · Logistique militaire & transport · Réseaux militaires (5G/P-LTE/MANET),certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,"Sécurité civile, Primes défense",cryptographie · robotique / autonomie · cybersécurité,Cryptographie · Robotique & autonomie · Cybersécurité,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,high
422,CGR INTERNATIONAL,France,http://www.cgr-international.com/,,Conçoit et fabrique des ressorts et composants mécaniques de précision pour la défense.,Tier 2,,Composants électroniques & cartes · Pièces mécaniques & usinage,certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,"Primes défense, Export / international",Lidar / Laser · fabrication additive · robotique / autonomie · cloud · GNSS / GPS,Lidar / Laser · Fabrication additive · Robotique & autonomie · Cloud & cloud souverain · GNSS / navigation satellite,Prestataire potentiel de certification / tests pour primes défense — partenaire pour les marchés publics et industriels associés.,80,medium
423,"Chaiseri Metal & Rubber Co.,Ltd.",Thailand,https://www.chaiseri-defense.com/,,"Fournit des véhicules militaires, logiciels métier défense, armes pour armées.",OEM,véhicules militaires · logiciels métier défense · armes · équipement logistique · moteurs / propulsion,Véhicules tactiques (non blindés) · Logiciels métier défense (autres) · Armes légères & accessoires · Logistique militaire & transport · Moteurs aéronautiques,MCO / MRO · intégration de systèmes,MCO / MRO · Intégration de systèmes,MoD / Armées,véhicules tout-terrain · cloud · IA / vision · mécanique d'armement,Cloud & cloud souverain · IA / machine learning,"Sous-traitant éligible pour les primes défense (mécanique, composants, ingénierie) — fournisseur potentiel pour pièces série courte certifiées EN9100/AQAP.",100,high
424,CHELTON,United-Kingdom,https://www.chelton.com/,,Conseille en ingénierie et conçoit des solutions techniques pour la défense et la sécurité.,Tier 1,,Antennes & infrastructures RF · Explosifs & matériaux énergétiques · Systèmes de guerre électronique (EW) · Réseaux militaires (5G/P-LTE/MANET),MCO / MRO · certification / tests,MCO / MRO · Certification & tests,"MoD / Armées, Primes défense",cloud · RF / micro-ondes · GNSS / GPS · 5G / sans-fil,Cloud & cloud souverain · Communications RF / micro-ondes · GNSS / navigation satellite · 5G / réseaux radio mobiles,Prestataire potentiel de MCO / MRO pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,medium
425,Chemring Group,United-Kingdom,http://www.chemring.co.uk/,,"Intègre des capteurs embarqués, véhicules militaires, drones aériens pour armées et forces de sécurité.",OEM,capteurs embarqués · véhicules militaires · drones aériens · armes · munitions,Capteurs embarqués (généraux) · Véhicules tactiques (non blindés) · Drones aériens (UAV) · Armes légères & accessoires · Munitions petit/moyen calibre,ingénierie / conseil · MCO / MRO · intégration de systèmes,Ingénierie & conseil · MCO / MRO · Intégration de systèmes,"Sécurité civile, Primes défense, MoD / Armées, Export / international",RF / micro-ondes · big data / analyse · IA / vision · robotique / autonomie,Communications RF / micro-ondes · Big data & analytics · IA / machine learning · Robotique & autonomie,Intégrateur sur plateformes capteurs — partenaire potentiel pour fournir des sous-systèmes ou capter du chiffre d'affaires d'intégration.,100,high
