account_name,country,priority_level,lead_score,target_type,buying_need_main,ideal_seller_profile,recommended_sales_angle,short_pitch,website_url,linkedin_company_url,lead_status,next_best_action,notes
EBOS technologies ltd,Cyprus,A,81.0,Acheteur potentiel,Energy / batteries,"Threat intel, hardware appliances, cloud souverain, audits.","Cyber-defense vendors source threat intel feeds, hardware appliances, cloud and certification services. Procurement / CISO are entry points.","Hi — I noticed EBOS technologies ltd builds UAV / drones, Sensors (+14) for Cybersecurity.",https://www.ebosrnd.eu/,https://www.linkedin.com/company/ebos-technologies-ltd,New,Contact sales team and qualify need,
E-BUSINESS VENTURE,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://ebv.fr/,,New,No immediate action,
Echodyne,États-Unis,C,45.0,Acheteur potentiel,Electronic components,Vend des sous-systèmes / composants à un OEM construisant Radars.,"Echodyne sells radars; they buy front-ends, processing modules and field testing. Engineering buys.",Hi — Echodyne ships Radars to defense customers.,http://www.echodyne.com/,https://www.linkedin.com/company/echodyne/posts/?feedView=all,New,Keep in watchlist,
ECLIPTIC DEFENCE AND SPACE,Cyprus,A,75.0,Acheteur potentiel,Energy / batteries,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.","Hi — I noticed ECLIPTIC DEFENCE AND SPACE builds UAV / drones, Counter-UAV systems (+10) for Electronic warfare.",https://www.ecliptic-ds.com/,,New,Contact sales team and qualify need,
eCon Trading Ltd.,Hongrie,A,75.0,Acheteur potentiel,Engines / propulsion,"Radars, sonars, comms, armement, sustainment pour primes navals.","Naval primes buy radars, sonars, comms, weapons and sustainment in long cycles.",Hi — I noticed eCon Trading Ltd.,https://econengineering.com/en/,,New,Contact sales team and qualify need,
ECONOMAT DES ARMEES,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://economat-armees.com/,,New,No immediate action,
ECOSUN INNOVATIONS,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.ecosuninnovations.com/,,New,No immediate action,
ECOTEST GROUP,Ukraine,B,67.0,Acheteur potentiel,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Software / Platforms.",ECOTEST GROUP sells CBRN kit — they need certified materials and detection.,"Hi — ECOTEST GROUP ships Vehicles, Software / Platforms (+3) to Aerospace primes, Police / law enforcement (+1).",http://ecotestgroup.com/,https://www.linkedin.com/company/10967767,New,Review website and validate opportunity,
ECRIN SYSTEMS,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.ecrin.com/,https://www.linkedin.com/company/ecrin-systems/,New,No immediate action,
ED PUBLISHING,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.edrmagazine.eu/,,New,No immediate action,
Edeis ingénierie,France,C,58.4,Acheteur potentiel,Mechanical parts,Vend des sous-systèmes / composants à un OEM construisant Logistics equipment.,Edeis ingénierie performs MRO — they need parts and engineering support. Direct procurement angle.,"Hi — Edeis ingénierie ships Logistics equipment to Police / law enforcement, Critical infrastructure.",http://www.edeis.com/expertises/ingenierie/,https://www.linkedin.com/company/edeis/,New,Keep in watchlist,
EDePro d.o.o,Serbie,B,71.0,Acheteur potentiel,Energy / batteries,"Composites, capteurs, comms, lancement pour primes spatiaux.","Space primes source composites, sensors, comms and launch services.","Hi — I noticed EDePro d.o.o builds UAV / drones, Weapons (+7) for Space / satellite.",http://www.edepro.com/,,New,Review website and validate opportunity,
EDGE GROUP,Émirats arabes unis,D,17.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed EDGE GROUP at Eurosatory.,https://edgegroupuae.com/,https://www.linkedin.com/company/edgegroup/,New,No immediate action,
EDH,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://edh.fr/,,New,No immediate action,
EDI-USA,États-Unis,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://execdefense.com/,,New,No immediate action,
EES CLEMESSY,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.clemessy.com/,,New,No immediate action,
EES-CLEMESSY,France,B,74.0,Acheteur potentiel,Electronic components,"Vend des sous-systèmes / composants à un OEM construisant Robotics / UGV, Logistics equipment.","EES-CLEMESSY pitches end-to-end C4ISR; they need sub-systems, software components and compliance services.","Hi — EES-CLEMESSY ships Robotics / UGV, Logistics equipment (+6) to Critical infrastructure.",https://www.clemessy.com/,https://www.linkedin.com/company/eiffageenergiesystemes/,New,Review website and validate opportunity,
efa France,France,B,68.0,Acheteur potentiel,Electronic components,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.","Hi — I noticed efa France builds Sensors, Software / Platforms (+7) for Radar / sensors.",https://efa-controls.com/,https://www.linkedin.com/company/efa-france/,New,Review website and validate opportunity,
EFT GROUP Sp. z o.o.,Pologne,C,48.9,Acheteur potentiel,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Logistics equipment.",Qualify the activity before pitching.,Hi — EFT GROUP Sp. z o.o.,https://eftgroup.pl/en/,,New,Keep in watchlist,
Ege Araç Teknolojileri A.Ş.,Turquie,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
Ege Endüstri ve Ticaret A.Ş.,Turquie,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
Ege Fren Sanayi A.Ş.,Turquie,D,38.4,Acheteur potentiel,Mechanical parts,Vend des sous-systèmes / composants à un OEM construisant Engines / propulsion.,Qualify the activity before pitching.,Hi — Ege Fren Sanayi A.Ş.,https://www.egefren.com.tr/,,New,No immediate action,
EGIDE,France,A,78.0,Acheteur potentiel,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map EGIDE's integration partners.","Hi — I noticed EGIDE builds UAV / drones, Counter-UAV systems (+6) for Intelligence / ISR.",https://www.egide-tech.com/,https://www.linkedin.com/company/egide-tech/,New,Contact sales team and qualify need,
EID,Portugal,A,76.0,Acheteur potentiel,Engines / propulsion,"Composants, sous-systèmes, software, services pour primes C4ISR.",C4ISR primes integrate hundreds of components — the sourcing surface is huge. Procurement / supply chain is the entry point.,"Hi — I noticed EID builds Vehicles, Optronics / Optics (+6) for C4ISR.",http://www.eid.pt/,https://www.linkedin.com/company/eid-sa,New,Contact sales team and qualify need,
EINSA,Espagne,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.einsa.es/,,New,No immediate action,
EIZO Rugged Solutions,États-Unis,B,68.0,Acheteur potentiel,Electronic components,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.","Hi — I noticed EIZO Rugged Solutions builds Sensors, Radars (+5) for Electronic warfare.",http://www.eizorugged.com/,https://www.linkedin.com/company/eizoruggedsolutions/,New,Review website and validate opportunity,
EKOSCAN,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.ekoscan-ndt.com/,,New,No immediate action,
Eksma Optics,Lituanie,B,68.0,Acheteur potentiel,Electronic components,"Textiles, composites, optronique, énergie pour kits soldat.","Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.","Hi — I noticed Eksma Optics builds Optronics / Optics, Sensors (+3) for Soldier systems.",http://www.eksmaoptics.com/,https://www.linkedin.com/company/eksma-optics/,New,Review website and validate opportunity,
ELAUL,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.elaul.fr/,,New,No immediate action,
Elbe Holding,Allemagne,B,72.5,Acheteur potentiel,Engines / propulsion,"Composites, capteurs, comms, lancement pour primes spatiaux.","Space primes source composites, sensors, comms and launch services.","Hi — I noticed Elbe Holding builds Vehicles, Sensors (+4) for Space / satellite.",http://www.elbe-group.de/en/,,New,Review website and validate opportunity,
Elbit Systems,Israël,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.elbitsystems.com/,,New,No immediate action,
Elbit Systems Sweden AB,Suède,B,69.0,Acheteur potentiel,Electronic components,"Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics, Tactical radios.",Elbit Systems Sweden AB's ISR offer needs sensor primes and data-fusion suppliers. Engineering / programme is the buyer.,"Hi — Elbit Systems Sweden AB ships Optronics / Optics, Tactical radios (+2) to Navy.",http://elbitsystems.se/,https://www.linkedin.com/company/elbit-systems-sweden-ab/,New,Review website and validate opportunity,
"ELDIS PARDUBICE, S.R.O.",République tchèque,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.eldis.cz/,,New,No immediate action,
Electro Optic Systems,Australie,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.eos-aus.com/,,New,No immediate action,
ELECTROPOLI SA,France,B,65.5,Fournisseur potentiel,Mechanical parts,"Matériaux énergétiques, mécanique, packaging, certification.","Ammunition makers buy energetic materials, mechanical parts, packaging and certification services.","Hi — I noticed ELECTROPOLI SA builds Logistics equipment, Communications networks (+2) for Ammunition.",http://www.electropoli.com/,https://www.linkedin.com/company/groupe-electropoli-sa/,New,Review website and validate opportunity,
Electro-therm,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.electrotherm.fr/,,New,No immediate action,
Elektroda Zagreb d.o.o.,Croatie,B,62.5,Distributeur potentiel,Sensors,Canal de distribution / représentation pour notre portefeuille.,Naval exports rarely use distributors — confirm before pitching.,Hi — we're scouting an exclusive distributor for Europe.,https://ezg.hr/,,New,Review website and validate opportunity,
ELETTRONICA SPA,Italie,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.eltgroup.net/,,New,No immediate action,
"ELFYS, INC.",Finlande,A,77.4,Acheteur potentiel,Electronic components,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map ELFYS, INC.'s integration partners.","Hi — I noticed ELFYS, INC.",http://www.elfys.fi/,https://www.linkedin.com/company/elfys,New,Contact sales team and qualify need,
ELGIE - Actemium Roanne Connectique,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.actemium.fr/implantations/actemium-roanne-connectique/presentation/,,New,No immediate action,
ELIKA TEAM,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://elikateam.com/,,New,No immediate action,
Elistair,France,B,73.5,Acheteur potentiel,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map Elistair's integration partners.","Hi — I noticed Elistair builds UAV / drones, Sensors (+9) for Intelligence / ISR.",http://www.elistair.com/,https://www.linkedin.com/company/3720597/admin/dashboard/,New,Review website and validate opportunity,
Elmo Motion Control,Israël,D,16.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed Elmo Motion Control at Eurosatory.,https://www.elmomc.com/,https://www.linkedin.com/company/elmomotioncontrol/,New,No immediate action,
ELMON SA,Grèce,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.elmon.com/,,New,No immediate action,
ELNO,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.elno.fr/,,New,No immediate action,
ELYNXO,France,B,62.5,Fournisseur potentiel,"Raw materials (steel, aluminium)","Matières premières, outils coupants, services qualité pour sous-traitants.","Sub-contractors buy raw materials, cutting tools and quality services.","Hi — I noticed ELYNXO builds Mechanical parts, Optronics / Optics (+4) for Industrial subcontracting.",http://www.elynxo.fr/,https://www.linkedin.com/company/10376980/,New,Review website and validate opportunity,
EM&E,Espagne,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.eme-es.com/,,New,No immediate action,
Emaan International Company,Arabie saoudite,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
EMAG,Allemagne,A,80.0,Acheteur potentiel,Engines / propulsion,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Armored vehicle OEMs buy engines, composites, ballistic plates, optronics, comms and specialised mechanics in volume.","Hi — I noticed EMAG builds Vehicles, Weapons (+5) for Armored vehicles.",http://www.emag.com/,https://www.linkedin.com/company/emaggroup,New,Contact sales team and qualify need,
Embedl,Suède,A,77.0,Acheteur potentiel,Cloud / data services,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map Embedl's integration partners.","Hi — I noticed Embedl builds Software / Platforms, Embedded systems (+8) for Intelligence / ISR.",http://www.embedl.com/,https://www.linkedin.com/company/embedl/,New,Contact sales team and qualify need,
EMBERION LTD,Royaume-Uni,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.emberion.com/,,New,No immediate action,
EMBRAER,Brésil,D,16.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed EMBRAER at Eurosatory.,http://embraer.com/defense-security-overview/en/,,New,No immediate action,
EMD,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.emd-pro.com/,,New,No immediate action,
Emergent Swarm Solutions,Pays-Bas,B,61.0,Acheteur potentiel,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed Emergent Swarm Solutions builds UAV / drones, Sensors (+3) for UAV / drones.",https://emergentswarms.com/,,New,Review website and validate opportunity,
Emiliana Serbatoi,Italie,B,67.5,Acheteur potentiel,Engines / propulsion,"Outils SOC/SIEM, brique de sécurité défensive pour vendeur cyber.","Emiliana Serbatoi sells cyber to defense — they also need NDA-friendly suppliers for components, cloud and audits. Lead with compliance pedigree.","Hi — Emiliana Serbatoi ships Vehicles, Logistics equipment (+1) to defense customers.",http://www.emilianaserbatoi.com/,https://www.linkedin.com/company/11005217,New,Review website and validate opportunity,
Emirates Cable Corporation Interconnect (ECCI),Émirats arabes unis,D,26.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Confirm if Emirates Cable Corporation Interconnect (ECCI) does MRO, sustainment or only spares.",Hi — I noticed Emirates Cable Corporation Interconnect (ECCI) at Eurosatory.,https://ecci.ae/,,New,No immediate action,
EMITECH,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.emitech.fr/,,New,No immediate action,
EMJ Metāls SIA,Lettonie,C,40.7,Fournisseur potentiel,Mechanical parts,Activité à qualifier — discovery call avant pitch précis.,Public data is thin — qualify the activity before pitching supply.,"Hi — I noticed EMJ Metāls SIA builds Logistics equipment, Communications networks for Other.",http://www.emjmetals.lv/,https://www.linkedin.com/company/emj-metals-sia/,New,Keep in watchlist,
Empact ApS,Danemark,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
EMPL,Autriche,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.empl.at/,,New,No immediate action,
EMS Concept,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.ems-concept.com/,,New,No immediate action,
EMTECH,États-Unis,B,68.0,Acheteur potentiel,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Software / Platforms.",EMTECH sells naval kit — long sales cycle. Programme office is the buyer.,"Hi — EMTECH ships Vehicles, Software / Platforms (+2) to defense customers.",https://www.emtechinc.net/,,New,Review website and validate opportunity,
ENAG,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.enag.fr/,,New,No immediate action,
ENCORP LTD,Cyprus,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://encorp.eu/,,New,No immediate action,
Energetics Technology ltd,Royaume-Uni,C,43.4,Acheteur potentiel,Cloud / data services,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Logistics equipment.",Qualify the activity before pitching.,"Hi — Energetics Technology ltd ships Software / Platforms, Logistics equipment (+1) to defense customers.",https://www.energetics-technology.com/,,New,Keep in watchlist,
ENERGIE METAL,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.energie-metal.fr/,,New,No immediate action,
Engineering Conception Maintenance,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.ecm-crit.com/,,New,No immediate action,
Enidine,États-Unis,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.enidine.com/,,New,No immediate action,
Ensign-Bickford Aerospace & Defense,États-Unis,D,27.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed Ensign-Bickford Aerospace & Defense at Eurosatory.,http://www.ebad.com/,https://www.linkedin.com/company/ensign-bickford-aerospace-&-defense-company/,New,No immediate action,
ENSTROM HELICOPTER CORPORATION,États-Unis,B,70.0,Acheteur potentiel,Mechanical parts,"Composites, capteurs, comms, lancement pour primes spatiaux.","Space primes source composites, sensors, comms and launch services.","Hi — I noticed ENSTROM HELICOPTER CORPORATION builds Logistics equipment, Engines / propulsion (+4) for Space / satellite.",http://www.enstromhelicopter.com/,,New,Review website and validate opportunity,
Entremonde Polycoaters Limited,Inde,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.entremonde.com/,,New,No immediate action,
EO SECURITY s.r.o.,République tchèque,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.eo-security.com/,,New,No immediate action,
EODH SA,Grèce,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.eodh-protection.com/,,New,No immediate action,
EOS GmbH,Allemagne,A,78.0,Acheteur potentiel,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed EOS GmbH builds UAV / drones, Software / Platforms (+7) for UAV / drones.",http://www.eos.info/,,New,Contact sales team and qualify need,
EOS TECHNOLOGIE,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.eos-technologie.com/,,New,No immediate action,
EOST,Corée du Sud,D,16.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed EOST at Eurosatory.,https://www.eosystem.com/,https://www.linkedin.com/company/96136565/admin/feed/posts/,New,No immediate action,
EPCI,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,https://www.linkedin.com/in/epci-engineering/,New,No immediate action,
Epec Oy,Finlande,B,71.5,Acheteur potentiel,Engines / propulsion,"Visuel, motion, haptique, IA pour fabricants de simulateurs.",Simulator builders source visual / motion / haptics hardware and AI components. Engineering is the buyer.,"Hi — I noticed Epec Oy builds Vehicles, Software / Platforms (+3) for Simulation / training.",http://www.epec.fi/,https://www.linkedin.com/company/epec/,New,Review website and validate opportunity,
Ephyca,Belgique,A,75.0,Acheteur potentiel,Electronic components,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed Ephyca builds Sensors, Software / Platforms (+4) for UAV / drones.",https://www.ephyca.com/,https://www.linkedin.com/company/ephyca/,New,Contact sales team and qualify need,
EPSI,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://epsi-radars.fr/,https://www.linkedin.com/company/epsi-itni,New,No immediate action,
EPSILON,France,C,58.7,Fournisseur potentiel,Electronic components,"Radars, sonars, comms, armement, sustainment pour primes navals.","Naval primes buy radars, sonars, comms, weapons and sustainment in long cycles.","Hi — I noticed EPSILON builds Sensors, Logistics equipment for Naval defense.",http://www.epsilon-tolerie.fr/,https://fr.linkedin.com/company/epsilon-tolerie,New,Keep in watchlist,
Epsilor-Electric Fuel Ltd,Israël,A,75.0,Acheteur potentiel,Engines / propulsion,Sub-system / payload pour OEM drones tactiques.,UAV programs are scaling — Epsilor-Electric Fuel Ltd is buying. Position [your sub-system] as a qualified alternative on their next platform.,"Hi — Epsilor-Electric Fuel Ltd ships Vehicles, UAV / drones (+3) to Land forces, Aerospace primes (+4).",http://www.epsilor.com/,,New,Contact sales team and qualify need,
EQUANS,France,B,74.0,Fournisseur potentiel,"Materials (Li-ion, electrolytes)","Amplis RF, processeurs signal, embarqué, antennes pour EW.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.","Hi — I noticed EQUANS builds Energy / batteries, Sensors (+4) for Electronic warfare.",http://equans.fr/,https://www.linkedin.com/company/equans-france/posts/?feedView=all,New,Review website and validate opportunity,
EQUIMODAL,Espagne,B,65.3,Acheteur potentiel,Mechanical parts,"Pièces de rechange, calibration, certification pour acteurs MRO.","MRO providers source spare parts, calibration tools and certification services. Procurement is the buyer.","Hi — I noticed EQUIMODAL builds Logistics equipment, Energy / batteries (+1) for Logistics / MRO.",http://www.equimodal.com/,https://www.linkedin.com/company/equimodal/?originalSubdomain=es,New,Review website and validate opportunity,
"EQUIPOS MOVILES DE CAMPANA ARPA, S.A.U.",Espagne,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.arpaemc.com/,,New,No immediate action,
ERA A.S.,République tchèque,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.era.aero/,,New,No immediate action,
ERARD INDUSTRIE,France,D,2.0,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed ERARD INDUSTRIE at Eurosatory.,https://www.erard-industrie.com/,,New,No immediate action,
ERASER,Lettonie,D,38.4,Acheteur potentiel,Mechanical parts,Activité à qualifier — discovery call avant pitch précis.,Public data is thin — qualify the activity before pitching supply.,"Hi — I noticed ERASER builds Logistics equipment, Electronic components for Other.",https://eraser.lv/,,New,No immediate action,
Ericsson,Suède,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
ERLA TECHNOLOGIES S.A.S.,France,B,60.7,Fournisseur potentiel,Electronic components,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map ERLA TECHNOLOGIES S.A.S.'s integration partners.",Hi — I noticed ERLA TECHNOLOGIES S.A.S.,http://erla.fr/,https://www.linkedin.com/company/erlatechnologies/,New,Review website and validate opportunity,
ERM Fab&Test,France,D,15.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed ERM Fab&Test at Eurosatory.,http://www.erm-fabtest.com/,https://www.linkedin.com/company/erm-fab-test,New,No immediate action,
Esh-tech Systems,Israël,D,17.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed Esh-tech Systems at Eurosatory.,https://www.esh-tech.com/,https://www.linkedin.com/company/esh-tech-systems/?viewAsMember=true,New,No immediate action,
ESSETI PRINTED CIRCUIT BOARD,Italie,B,61.1,Fournisseur potentiel,Cloud / data services,"Composites, capteurs, comms, lancement pour primes spatiaux.","Space primes source composites, sensors, comms and launch services.","Hi — I noticed ESSETI PRINTED CIRCUIT BOARD builds Software / Platforms, Electronic components (+2) for Space / satellite.",http://www.circuiti-stampati.com/,https://www.linkedin.com/in/esseti-circuiti-stampati-74b37678/,New,Review website and validate opportunity,
ESSONNE SECURITE SIDES ARMORIC HOLDING,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.essonnesecurite.fr/,,New,No immediate action,
Estonian Defence and Aerospace Industry Association,Estonie,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
ETENDARD,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://etendard.tech/,https://www.linkedin.com/company/etendard-tech/posts/?feedView=all,New,No immediate action,
Eternum Ltd.,Hongrie,C,54.4,Acheteur potentiel,RF / microwave components,Vend des sous-systèmes / composants à un OEM construisant Communications networks.,Eternum Ltd. performs MRO — they need parts and engineering support. Direct procurement angle.,Hi — Eternum Ltd. ships Communications networks to defense customers.,https://www.eternum.com/en,,New,Keep in watchlist,
ETHEREAL MACHINES,Inde,B,71.5,Acheteur potentiel,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map ETHEREAL MACHINES's integration partners.","Hi — I noticed ETHEREAL MACHINES builds UAV / drones, Electronic components (+13) for Intelligence / ISR.",http://etherealmachines.com/,https://www.linkedin.com/company/etherealmachines/,New,Review website and validate opportunity,
Etienne Lacroix Logistics,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.etienne-lacroix-logistics.com/,,New,No immediate action,
"ETL Co., Ltd. (Stealth Technology)",Corée du Sud,D,16.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.","Hi — I noticed ETL Co., Ltd.",https://www.etlst.com/,,New,No immediate action,
ETRI (ROSENBERG VENDOME),France,B,61.6,Acheteur potentiel,Electronic components,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.","Hi — I noticed ETRI (ROSENBERG VENDOME) builds Radars, Engines / propulsion for Radar / sensors.",http://www.etrinet.com/,https://www.linkedin.com/company/ecofit-etri/,New,Review website and validate opportunity,
ETRONIKA,Pologne,B,73.5,Acheteur potentiel,Electronic components,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed ETRONIKA builds Optronics / Optics, UAV / drones (+3) for UAV / drones.",http://www.etronika.pl/start-en/,https://www.linkedin.com/company/etronika-pl,New,Review website and validate opportunity,
ETS GABRIEL ET CIE,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.gabriel-lyon.fr/,,New,No immediate action,
